DATE,Deposit,Lending,MM Rate,CBPRate,CPI,RealGDP,NomGDP
2005-05-16,0.035,0.091,0.055,0.055,0.080535949,0.029566616,0.067238308
2005-05-17,0.035,0.091,0.055,0.055,0.08051308,0.029567361,0.067219707
2005-05-18,0.035,0.091,0.055,0.055,0.080490211,0.029568106,0.067201106
2005-05-19,0.035,0.091,0.055,0.055,0.080467342,0.029568851,0.067182505
2005-05-20,0.035,0.091,0.055,0.055,0.080444472,0.029569596,0.067163904
2005-05-23,0.035,0.091,0.055,0.055,0.080375865,0.029571831,0.0671081
2005-05-24,0.035,0.091,0.055,0.055,0.080352995,0.029572576,0.067089499
2005-05-25,0.035,0.091,0.055,0.055,0.080330126,0.029573321,0.067070898
2005-05-26,0.035,0.091,0.055,0.055,0.080307257,0.029574066,0.067052296
2005-05-27,0.035,0.091,0.055,0.055,0.080284388,0.029574811,0.067033695
2005-05-30,0.035,0.091,0.055,0.055,0.08021578,0.029577046,0.066977892
2005-05-31,0.035,0.091,0.055,0.055,0.080192911,0.029577791,0.066959291
2005-06-01,0.035,0.091,0.055,0.055,0.080170042,0.029578536,0.066940689
2005-06-02,0.035,0.091,0.055,0.055,0.080147172,0.029579281,0.066922088
2005-06-03,0.035,0.091,0.055,0.055,0.080124303,0.029580026,0.066903487
2005-06-06,0.035,0.091,0.055,0.055,0.080055696,0.029582261,0.066847684
2005-06-07,0.035,0.091,0.055,0.055,0.080032826,0.029583006,0.066829082
2005-06-08,0.035,0.091,0.055,0.055,0.080009957,0.029583751,0.066810481
2005-06-09,0.035,0.091,0.055,0.055,0.079987088,0.029584496,0.06679188
2005-06-10,0.035,0.091,0.055,0.055,0.079964219,0.029585241,0.066773279
2005-06-13,0.035,0.091,0.055,0.055,0.079895611,0.029587476,0.066717475
2005-06-14,0.035,0.091,0.055,0.055,0.079872742,0.029588221,0.066698874
2005-06-15,0.035,0.091,0.055,0.055,0.079849873,0.029588966,0.066680273
2005-06-16,0.035,0.091,0.055,0.055,0.079827003,0.029589711,0.066661672
2005-06-17,0.035,0.091,0.055,0.055,0.079804134,0.029590456,0.066643071
2005-06-20,0.035,0.091,0.055,0.055,0.079735526,0.029592691,0.066587267
2005-06-21,0.035,0.091,0.055,0.055,0.079712657,0.029593436,0.066568666
2005-06-22,0.035,0.091,0.055,0.055,0.079689788,0.029594181,0.066550065
2005-06-23,0.035,0.091,0.055,0.055,0.079666919,0.029594926,0.066531464
2005-06-24,0.035,0.091,0.055,0.055,0.07964405,0.029595671,0.066512862
2005-06-27,0.035,0.091,0.055,0.055,0.079575442,0.029597906,0.066457059
2005-06-28,0.035,0.091,0.055,0.055,0.079552573,0.029598651,0.066438458
2005-06-29,0.035,0.091,0.055,0.055,0.079552573,0.029598651,0.066438458
2005-06-30,0.035,0.091,0.055,0.055,0.079552573,0.029598651,0.066438458
2005-07-01,0.035,0.091,0.055,0.055,0.079529703,0.029599396,0.066419856
2005-07-04,0.035,0.091,0.055,0.055,0.079461096,0.029601631,0.066364053
2005-07-05,0.035,0.091,0.055,0.055,0.079438227,0.029602376,0.066345452
2005-07-06,0.035,0.091,0.055,0.055,0.079415357,0.029603121,0.066326851
2005-07-07,0.035,0.091,0.055,0.055,0.079392488,0.029603866,0.066308249
2005-07-08,0.035,0.091,0.055,0.055,0.079369619,0.029604611,0.066289648
2005-07-11,0.035,0.091,0.055,0.055,0.079301011,0.029606846,0.066233845
2005-07-12,0.035,0.091,0.055,0.055,0.079278142,0.029607591,0.066215243
2005-07-13,0.035,0.091,0.055,0.055,0.079255273,0.029608336,0.066196642
2005-07-14,0.035,0.091,0.055,0.055,0.079232404,0.029609081,0.066178041
2005-07-15,0.035,0.091,0.055,0.055,0.079209534,0.029609826,0.06615944
2005-07-18,0.035,0.091,0.055,0.055,0.079140927,0.029612061,0.066103636
2005-07-19,0.035,0.091,0.055,0.055,0.079118057,0.029612806,0.066085035
2005-07-20,0.035,0.091,0.055,0.055,0.079095188,0.029613551,0.066066434
2005-07-21,0.035,0.091,0.055,0.055,0.079072319,0.029614296,0.066047833
2005-07-22,0.035,0.091,0.055,0.055,0.07904945,0.029615041,0.066029232
2005-07-25,0.035,0.091,0.055,0.055,0.078980842,0.029617276,0.065973428
2005-07-26,0.035,0.091,0.055,0.055,0.078957973,0.029618021,0.065954827
2005-07-27,0.035,0.091,0.055,0.055,0.078935104,0.029618766,0.065936226
2005-07-28,0.035,0.091,0.055,0.055,0.078912234,0.029619511,0.065917625
2005-07-29,0.035,0.091,0.055,0.055,0.078889365,0.029620256,0.065899023
2005-08-01,0.035,0.091,0.055,0.055,0.078837971,0.029626535,0.065927994
2005-08-02,0.035,0.091,0.055,0.055,0.078832316,0.029631323,0.065994166
2005-08-03,0.035,0.091,0.055,0.055,0.07882666,0.029636112,0.066060339
2005-08-04,0.035,0.091,0.055,0.055,0.078821005,0.0296409,0.066126511
2005-08-05,0.035,0.091,0.055,0.055,0.07881535,0.029645689,0.066192684
2005-08-08,0.035,0.091,0.055,0.055,0.078798383,0.029660054,0.066391201
2005-08-09,0.035,0.091,0.055,0.055,0.078792728,0.029664842,0.066457374
2005-08-10,0.035,0.091,0.055,0.055,0.078787072,0.029669631,0.066523546
2005-08-11,0.035,0.091,0.055,0.055,0.078781417,0.029674419,0.066589719
2005-08-12,0.035,0.091,0.055,0.055,0.078775762,0.029679207,0.066655891
2005-08-15,0.035,0.091,0.055,0.055,0.078758795,0.029693573,0.066854409
2005-08-16,0.035,0.091,0.055,0.055,0.07875314,0.029698361,0.066920581
2005-08-17,0.035,0.091,0.055,0.055,0.078747484,0.02970315,0.066986754
2005-08-18,0.035,0.091,0.055,0.055,0.078741829,0.029707938,0.067052926
2005-08-19,0.035,0.091,0.055,0.055,0.078736173,0.029712726,0.067119099
2005-08-22,0.035,0.091,0.055,0.055,0.078719207,0.029727092,0.067317616
2005-08-23,0.035,0.091,0.055,0.055,0.078713552,0.02973188,0.067383788
2005-08-24,0.035,0.091,0.055,0.055,0.078707896,0.029736668,0.067449961
2005-08-25,0.035,0.091,0.055,0.055,0.078702241,0.029741457,0.067516133
2005-08-26,0.035,0.091,0.055,0.055,0.078696585,0.029746245,0.067582306
2005-08-29,0.035,0.091,0.055,0.055,0.078679619,0.029760611,0.067780823
2005-08-30,0.035,0.091,0.055,0.055,0.078673964,0.029765399,0.067846996
2005-08-31,0.035,0.091,0.055,0.055,0.078673964,0.029765399,0.067846996
2005-09-01,0.035,0.091,0.055,0.055,0.078668308,0.029770187,0.067913168
2005-09-02,0.035,0.091,0.055,0.055,0.078662653,0.029774976,0.067979341
2005-09-05,0.035,0.091,0.055,0.055,0.078645686,0.029789341,0.068177858
2005-09-06,0.035,0.091,0.055,0.055,0.078640031,0.02979413,0.068244031
2005-09-07,0.035,0.091,0.055,0.055,0.078634376,0.029798918,0.068310203
2005-09-08,0.035,0.091,0.055,0.055,0.07862872,0.029803706,0.068376376
2005-09-09,0.035,0.091,0.055,0.055,0.078623065,0.029808495,0.068442548
2005-09-12,0.035,0.091,0.055,0.055,0.078606098,0.02982286,0.068641066
2005-09-13,0.035,0.091,0.055,0.055,0.078600443,0.029827648,0.068707238
2005-09-14,0.035,0.091,0.055,0.055,0.078594787,0.029832437,0.068773411
2005-09-15,0.035,0.091,0.055,0.055,0.078589132,0.029837225,0.068839583
