DATE,0.003,0.005,0.019,0.038,0.083,0.167,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2005-05-16,0.05589534,0.05589534,0.05572038,0.05583016,0.05609012,0.05621019,0.05628298,0.05621775,0.0560315,0.05584049,0.05569201,0.05559269,0.05558039,0.05560404,0.05563052,0.0556712,0.05573078,0.05586791,0.05602488,0.05613077,0.05604379,0.05595869,0.05600314,0.05607594,0.05611943,0.05616765,0.05624138,0.05632646,0.05641909,0.05651076,0.05660432,0.05669125,0.05676778,0.05684998,0.0568991,0.05693689,0.05696806,0.05699357,0.05701104,0.05702852,0.05703985,0.05705119,0.05706158,0.05707197,0.05708613,0.0571003,0.05715886,0.05721741,0.05727943,0.05734143,0.05740344,0.0574903,0.05757716,0.05766401,0.05775085,0.05783768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-17,0.05559553,0.05559553,0.05549809,0.0555669,0.05572984,0.05603812,0.05623193,0.05628392,0.05614401,0.05596059,0.0558282,0.05568822,0.0556135,0.05560215,0.0556258,0.05567025,0.05573078,0.05586413,0.0560211,0.05612699,0.05604096,0.05595586,0.05600597,0.05608161,0.0561251,0.05616481,0.05621302,0.05626407,0.05631417,0.05636048,0.05640963,0.05645784,0.0565032,0.05656841,0.05660999,0.05665156,0.05669314,0.05673188,0.05677251,0.05681313,0.05684998,0.05688682,0.05692083,0.05695484,0.05698365,0.05701246,0.0570696,0.05712675,0.05718751,0.05724826,0.05730901,0.05723139,0.05715376,0.05707612,0.05699848,0.05692083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-18,0.05399564,0.05399564,0.05529846,0.05546896,0.05587264,0.05613077,0.05628014,0.05634347,0.05620262,0.05601165,0.05586508,0.05570903,0.0556239,0.05559458,0.05558607,0.05559836,0.0556362,0.05575537,0.05590669,0.05601259,0.05593127,0.05585184,0.05590196,0.05597855,0.05602299,0.05606176,0.05611187,0.05616481,0.05621302,0.0562584,0.0563085,0.05635576,0.05640018,0.05646634,0.05650887,0.05655045,0.05659203,0.05663077,0.05667093,0.05671109,0.05674889,0.05678668,0.05682069,0.0568547,0.05688304,0.05691138,0.05696995,0.05702852,0.05708897,0.05714941,0.05720986,0.05713241,0.05705496,0.05697751,0.05690005,0.05682258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-19,0.05443989,0.05443989,0.05522276,0.05542445,0.05590196,0.05615157,0.05627069,0.05641814,0.0563274,0.05615725,0.05602016,0.05587832,0.05580834,0.05578848,0.05578091,0.0557932,0.05583198,0.05595208,0.05610619,0.05620924,0.05612888,0.05604663,0.05609863,0.05617615,0.05621964,0.05625556,0.05629621,0.05633496,0.05636994,0.05640113,0.05643137,0.05646162,0.0564928,0.05654384,0.05657408,0.05660432,0.05663644,0.05666479,0.05669456,0.05672432,0.05675172,0.05677912,0.0568051,0.05683108,0.05685423,0.05687737,0.05693783,0.05699829,0.05706095,0.0571236,0.05718625,0.05710993,0.05703362,0.05695729,0.05688096,0.05680463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-20,0.05314069,0.05314069,0.05462359,0.05497209,0.05579699,0.05617143,0.0563567,0.056644,0.05660526,0.0564843,0.05638033,0.056248,0.05618088,0.05617521,0.05620073,0.05624705,0.0563085,0.05644649,0.05660621,0.05671204,0.05661944,0.05653155,0.05658447,0.05666385,0.05670731,0.05674133,0.05677817,0.05681124,0.05684053,0.05686604,0.05688966,0.05691138,0.05693217,0.05697373,0.05699073,0.05700679,0.05701907,0.05702852,0.05703796,0.05704741,0.05705733,0.05706724,0.05707999,0.05709275,0.05711069,0.05712864,0.05725896,0.05738928,0.05745191,0.05751454,0.05757716,0.05750069,0.05742421,0.05734773,0.05727124,0.05719475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-23,0.05404585,0.05404585,0.05515368,0.05537111,0.05588588,0.05624422,0.05647957,0.05680179,0.05680368,0.05669408,0.05660337,0.0565032,0.05647201,0.05648524,0.05651265,0.05655423,0.05661471,0.05675266,0.05691138,0.05701624,0.05691989,0.05683014,0.05689249,0.0569794,0.0570219,0.05703891,0.05702568,0.05698979,0.05693594,0.0568736,0.05680652,0.056747,0.05670542,0.05670353,0.05669786,0.05670542,0.0567196,0.05674038,0.05677014,0.05679991,0.05683911,0.05687832,0.05692508,0.05697184,0.05702143,0.05707102,0.05736803,0.05766495,0.05767345,0.05768194,0.05769044,0.05764721,0.05760397,0.05756073,0.05751749,0.05747425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-24,0.05394637,0.05394637,0.05513192,0.05533025,0.05579982,0.05618939,0.05641058,0.05658825,0.05652872,0.05635765,0.05621302,0.0560731,0.05600692,0.05599084,0.05599179,0.05600786,0.0560419,0.05615063,0.05628108,0.05636048,0.05624611,0.05613456,0.05615536,0.05620357,0.05622059,0.0562376,0.05626785,0.05630283,0.05634064,0.05637655,0.05641436,0.05645122,0.0564843,0.05653439,0.05655801,0.0565788,0.05659676,0.05661188,0.05662699,0.05664211,0.05665676,0.05667141,0.05668794,0.05670448,0.05672621,0.05674794,0.05687737,0.05700679,0.05702127,0.05703576,0.05705024,0.05701,0.05696976,0.05692952,0.05688928,0.05684903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-25,0.05409606,0.05409606,0.05516504,0.05533331,0.05573173,0.05612321,0.05634347,0.0565032,0.05639451,0.05618939,0.05601543,0.05583198,0.05572795,0.05569106,0.05569011,0.05570903,0.05574308,0.05585184,0.05598328,0.0560627,0.05595018,0.05584144,0.05586697,0.05591803,0.05593411,0.05594451,0.0559568,0.05596626,0.05597004,0.05597099,0.05597382,0.05597761,0.05598422,0.05601448,0.05602677,0.05604096,0.05605514,0.05607027,0.05608823,0.05610619,0.05612652,0.05614685,0.05616906,0.05619128,0.05621539,0.05623949,0.05637135,0.0565032,0.05651832,0.05653344,0.05654856,0.05650925,0.05646993,0.05643062,0.0563913,0.05635198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-26,0.05481484,0.05481484,0.05529562,0.05546415,0.05586319,0.05620641,0.0564068,0.05660432,0.05649375,0.0562877,0.05610998,0.05596815,0.05591047,0.05588777,0.05585657,0.05583954,0.05590669,0.0559464,0.05607121,0.05614968,0.05604379,0.055936,0.05596059,0.05600881,0.05602583,0.05604001,0.05605987,0.05608067,0.05609958,0.05611754,0.05613645,0.05615536,0.05619979,0.05622153,0.05624611,0.05627352,0.05630283,0.05633307,0.05636427,0.05639546,0.05642665,0.05645784,0.05648666,0.05651548,0.05653958,0.05656368,0.05662605,0.05668841,0.05675235,0.05681628,0.05688021,0.05680482,0.05672942,0.05665402,0.05657861,0.0565032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-27,0.05331515,0.05331515,0.05475046,0.05502951,0.05569011,0.05610714,0.05632173,0.05644271,0.05633402,0.05612794,0.05595397,0.05579415,0.0557166,0.0556816,0.05565039,0.05563525,0.05570336,0.05574403,0.05586413,0.05594073,0.05583671,0.05573835,0.05579037,0.05586981,0.0559152,0.05595018,0.05597193,0.05598422,0.05598706,0.05598517,0.05598139,0.0559795,0.05600692,0.05601637,0.05603528,0.05605892,0.05608539,0.05611565,0.05614874,0.05618183,0.05621539,0.05624894,0.05628014,0.05631133,0.05633733,0.05636332,0.05642523,0.05648713,0.05650446,0.05652179,0.05653911,0.05650036,0.05646162,0.05642287,0.05638411,0.05634536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
