"V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,0,10,1,2050.63781890945,1992.7522984604,2894,2894
"2",2,0,10,2,2019.7699421659,1991.39765106969,2894,2894
"3",2,0,10,3,2018.54083484897,1981.24066597695,2894,2894
"4",2,0,10,4,1822.11476756175,1830.18795996036,2894,2894
"5",2,0,10,5,4552.0661651049,2248.93438234214,2683,2683
"6",2,0,10,6,2002.79799147656,2043.48823178136,2894,2894
"7",2,0,10,7,1559.99966725269,1676.10897507577,2894,2894
"8",2,0,10,8,1782.30158304674,1806.66983064924,2894,2894
"9",2,0,10,9,1700.78370907904,1785.09141615658,2894,2894
"10",2,0,10,10,6983.05045464397,3020.73209461466,2683,2683
"11",2,0,10,11,2036.07541898396,2028.22156904931,2894,2894
"12",2,0,10,12,1664.26835198384,1747.65589106293,2894,2894
"13",2,0,10,13,1810.32953757819,1818.57598168924,2894,2894
"14",2,0,10,14,1806.79005572049,1855.36759434488,2894,2894
"15",2,0,10,15,5119.63145153852,2410.835851631,2683,2683
"16",2,0,10,16,1513.07140950792,1665.91514492955,2894,2894
"17",2,0,10,17,1574.75528547886,1707.58865323244,2894,2894
"18",2,0,10,18,1566.8215752667,1696.84539793108,2894,2894
"19",2,0,10,19,1626.33175001071,1724.55704483575,2894,2894
"20",2,0,10,20,1505.35192544025,1653.2444902733,2683,2683
"21",2,0,20,1,1872.83342518948,1954.60602489343,2894,2894
"22",2,0,20,2,1571.8257536955,1694.66095338455,2894,2894
"23",2,0,20,3,1862.05095867934,1952.08518258758,2894,2894
"24",2,0,20,4,1832.36344055961,1957.75513739143,2894,2894
"25",2,0,20,5,3480.75851831432,3737.22864146834,2683,2683
"26",2,0,20,6,1965.46125909661,2168.9658131,2894,2894
"27",2,0,20,7,1527.33585117305,1664.8769329923,2894,2894
"28",2,0,20,8,1716.02815361646,1812.07415790407,2894,2894
"29",2,0,20,9,1840.90033805079,1928.22010419971,2894,2894
"30",2,0,20,10,3334.87878486669,3557.63996503401,2683,2683
"31",2,0,20,11,1966.83206567306,2140.92898819586,2894,2894
"32",2,0,20,12,1621.49418753156,1704.30839905299,2894,2894
"33",2,0,20,13,1746.63578109372,1838.07583433748,2894,2894
"34",2,0,20,14,1744.40356713344,1873.26994387947,2894,2894
"35",2,0,20,15,2913.65996604503,3075.45904470426,2683,2683
"36",2,0,20,16,1571.36879994307,1670.63458134638,2894,2894
"37",2,0,20,17,1593.96731875504,1690.08540892449,2894,2894
"38",2,0,20,18,1595.6142043585,1704.42875209163,2894,2894
"39",2,0,20,19,1614.73371222476,1719.72459163868,2894,2894
"40",2,0,20,20,1573.41183256765,1692.51124411836,2683,2683
"41",2,0,30,1,1832.84778280021,2043.54692226036,2894,2894
"42",2,0,30,2,1580.70789631617,1843.64212012097,2894,2894
"43",2,0,30,3,1764.83422697393,1983.78342491076,2894,2894
"44",2,0,30,4,1811.35296601669,2099.78550486001,2894,2894
"45",2,0,30,5,1428.99938278258,1607.38611529591,2683,2683
"46",2,0,30,6,1930.54421473334,2337.6780495036,2894,2894
"47",2,0,30,7,1590.60656950183,1846.33353468882,2894,2894
"48",2,0,30,8,1703.53782019791,1929.04246472718,2894,2894
"49",2,0,30,9,1808.53158027223,2019.41667243727,2894,2894
"50",2,0,30,10,1408.53914504391,1572.24644126604,2683,2683
"51",2,0,30,11,1927.60246311029,2308.56531747997,2894,2894
"52",2,0,30,12,1606.54349985859,1823.69119004672,2894,2894
"53",2,0,30,13,1720.9194970317,1940.54239154965,2894,2894
"54",2,0,30,14,1720.73150022018,2006.86388947967,2894,2894
"55",2,0,30,15,2346.62968463764,3070.57948294998,2683,2683
"56",2,0,30,16,1580.93198832892,1803.96925680262,2894,2894
"57",2,0,30,17,1593.51717704255,1815.11474982923,2894,2894
