"V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,0,10,1,4704.24428873308,4453.18600598759,4035,4035
"2",2,0,10,2,4229.01733307409,4297.70268138953,4035,4035
"3",2,0,10,3,4369.77615492285,4358.13826045794,4035,4035
"4",2,0,10,4,3344.25209338265,3979.2824275902,4035,4035
"5",2,0,10,5,8853.75522527957,5520.34767686838,3926,3926
"6",2,0,10,6,3929.77572582286,4196.65009053303,4035,4035
"7",2,0,10,7,2981.40138450322,3867.76619431956,4035,4035
"8",2,0,10,8,3296.81974998114,3953.1207177252,4035,4035
"9",2,0,10,9,2760.48126687182,3800.73771641865,4035,4035
"10",2,0,10,10,9078.24948238717,5582.865231442,3926,3926
"11",2,0,10,11,4231.55215752449,4302.63485021991,4035,4035
"12",2,0,10,12,3562.91090985282,4026.34096769479,4035,4035
"13",2,0,10,13,3305.66240206395,3961.40128726643,4035,4035
"14",2,0,10,14,3308.92024196606,3954.03690079208,4035,4035
"15",2,0,10,15,8716.40544008513,5485.77540474054,3926,3926
"16",2,0,10,16,2129.21183653285,3600.34369304682,4035,4035
"17",2,0,10,17,2289.43973541378,3656.18280091812,4035,4035
"18",2,0,10,18,2135.97721948951,3618.55475438087,4035,4035
"19",2,0,10,19,2372.04765399291,3698.19273951721,4035,4035
"20",2,0,10,20,2074.31772638214,3589.7137492354,3992,3992
"21",2,0,20,1,4350.77453078353,3995.05189530018,4035,4035
"22",2,0,20,2,3158.185819046,3451.96583018835,4035,4035
"23",2,0,20,3,4219.42950228319,3948.60544346686,4035,4035
"24",2,0,20,4,3888.02275982786,3848.96295556695,4035,4035
"25",2,0,20,5,7386.93909642153,5404.37535262331,3926,3926
"26",2,0,20,6,4205.53652023668,4047.05202715613,4035,4035
"27",2,0,20,7,3103.98571728842,3393.91793846142,4035,4035
"28",2,0,20,8,3394.87117249939,3572.03280753143,4035,4035
"29",2,0,20,9,4057.24389224253,3884.99471452523,4035,4035
"30",2,0,20,10,7038.22766069388,5202.2051639185,3926,3926
"31",2,0,20,11,4305.92642904132,4082.30104431938,4035,4035
"32",2,0,20,12,3473.92134532397,3640.64346355827,4035,4035
"33",2,0,20,13,3506.07484904905,3628.9812419574,4035,4035
"34",2,0,20,14,3329.85568796625,3545.140027227,4035,4035
"35",2,0,20,15,7046.70332365011,5202.5672099826,3926,3926
"36",2,0,20,16,2471.09087092015,2900.82879965147,4035,4035
"37",2,0,20,17,2548.39232457494,2968.11090803145,4035,4035
"38",2,0,20,18,2481.40189728917,2920.17933108849,4035,4035
"39",2,0,20,19,2609.92400510009,3024.92171240662,4035,4035
"40",2,0,20,20,2426.66238767424,2877.13790762812,3992,3992
"41",2,0,30,1,3981.96850254485,3855.00101347652,4035,4035
"42",2,0,30,2,3156.34758379934,3362.86028010317,4035,4035
"43",2,0,30,3,3569.67967325904,3601.01852386637,4035,4035
