DATE,0.003,0.005,0.019,0.038,0.083,0.167,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-08-29,0.00284666,0.00299915,0.00327584,0.00328732,0.0033145,0.0038347,0.0039721,0.00446999,0.00474396,0.00487808,0.00572196,0.0062026,0.00669367,0.00717917,0.00772214,0.00826482,0.0088072,0.00958393,0.00996405,0.01058507,0.01120218,0.01184601,0.01241918,0.01298573,0.01356454,0.01436631,0.01465757,0.0151662,0.01568587,0.01620528,0.01671351,0.01721591,0.01772922,0.01841932,0.01863531,0.01902822,0.01942097,0.01981356,0.02013246,0.02045125,0.0207752,0.02109904,0.02135926,0.02161941,0.02199376,0.02236796,0.02335025,0.02433157,0.02512179,0.02591138,0.02670035,0.02702745,0.02735443,0.02768131,0.02800809,0.02833475,0.02834058,0.02834642,0.02835225,0.02835808,0.02836391,0.02842418,0.02848444,0.0285447,0.02860495,0.0286652,,,,,,,,,,,,,,,,,,,,
2000-08-30,0.00284666,0.00284666,0.00340009,0.00356402,0.00395218,0.00422334,0.00388245,0.00447995,0.00494343,0.00487808,0.00576796,0.00615992,0.00657845,0.00698345,0.00753669,0.00808963,0.00864226,0.00940563,0.00977373,0.01035349,0.01093831,0.01152279,0.01210885,0.01268814,0.01327996,0.014179,0.01441211,0.01494658,0.01549263,0.01603838,0.01653626,0.01702843,0.01753129,0.01822295,0.01843672,0.01882848,0.01922008,0.01961534,0.01996094,0.02030642,0.0206556,0.02100466,0.02126985,0.02153498,0.02189775,0.02226039,0.02324278,0.02422421,0.02501451,0.02580419,0.02659324,0.02692037,0.0272474,0.02757431,0.02790112,0.02822782,0.02820449,0.02818115,0.02815782,0.02813449,0.02811115,0.02816949,0.02822782,0.02828615,0.02834447,0.02840279,,,,,,,,,,,,,,,,,,,,
2000-08-31,0.00325332,0.0032533,0.00344733,0.00360611,0.00398206,0.0041123,0.00386253,0.00446004,0.00493409,0.00496764,0.00571747,0.00610252,0.00649596,0.00688926,0.00744029,0.00798497,0.00854145,0.00938582,0.00967313,0.01024943,0.01083057,0.01143045,0.01201136,0.01257904,0.01318506,0.01415928,0.01431349,0.01485528,0.01539678,0.01594316,0.01640871,0.01687922,0.0173495,0.01831132,0.01824456,0.01866422,0.01908831,0.01951222,0.01982801,0.0201437,0.02046452,0.02078523,0.02107677,0.02136822,0.02185843,0.0223484,0.02339421,0.02443892,0.0252258,0.02601207,0.02679771,0.02709947,0.02740114,0.02770271,0.0280042,0.02830559,0.02831142,0.02831726,0.02832309,0.02832892,0.02833475,0.02839307,0.02845139,0.02850971,0.02856802,0.02862633,,,,,,,,,,,,,,,,,,,,
2000-09-01,0.00325329,0.00322788,0.00343809,0.00356707,0.00387249,0.00410995,0.00376291,0.00446004,0.00493372,0.00496764,0.0058113,0.00624261,0.00668332,0.00712383,0.00770051,0.00827053,0.00885289,0.00958393,0.01004068,0.01064744,0.01127241,0.0118838,0.01249053,0.01310362,0.01371634,0.01446488,0.01487234,0.0154157,0.01595877,0.01650751,0.01700262,0.01749206,0.01799212,0.01872361,0.01891221,0.0193323,0.01975684,0.02018119,0.02051988,0.02085846,0.02120777,0.02155695,0.0218218,0.02208658,0.02248153,0.02287633,0.023863,0.0248487,0.02568074,0.02651209,0.02734276,0.02766769,0.02799253,0.02831726,0.02864188,0.02896639,0.02894114,0.02891588,0.02889062,0.02886536,0.0288401,0.02899359,0.02914707,0.02930052,0.02945394,0.02960734,,,,,,,,,,,,,,,,,,,,
2000-09-04,0.00325332,0.00325332,0.00309511,0.00334075,0.0039223,0.00413788,0.00396214,0.00461931,0.00494638,0.00497759,0.00580308,0.00622414,0.00665437,0.00708442,0.00765808,0.00822511,0.0088044,0.00959383,0.01000686,0.01061873,0.01122889,0.01184543,0.01245345,0.01306785,0.01368187,0.01447473,0.01484301,0.01537754,0.01592365,0.01646946,0.01699116,0.01750687,0.01803376,0.01863528,0.01894822,0.01933592,0.01972772,0.02012789,0.02046854,0.02080908,0.02116239,0.02151559,0.02178474,0.02205383,0.02247494,0.02289588,0.02393623,0.0249755,0.02576521,0.02655429,0.02734276,0.02766964,0.02799642,0.02832309,0.02864965,0.02897611,0.02895085,0.02892559,0.02890033,0.02887507,0.02884981,0.02900137,0.02915289,0.0293044,0.02945588,0.02960734,,,,,,,,,,,,,,,,,,,,
2000-09-05,0.00325332,0.00315165,0.00315159,0.00338046,0.0039223,0.00393791,0.00377287,0.00466908,0.00494564,0.00497759,0.00583868,0.00627759,0.00672605,0.00718405,0.00778771,0.00837112,0.00899394,0.0097919,0.01022819,0.01086033,0.01149121,0.01212861,0.01276658,0.01339713,0.01404129,0.01488861,0.01525245,0.01581331,0.01638631,0.01695898,0.01745454,0.01794441,0.01844491,0.01914555,0.01936725,0.01978916,0.02022479,0.02064633,0.02099291,0.02133937,0.02168735,0.02203521,0.02233119,0.02262708,0.02302049,0.02341375,0.02445356,0.02549229,0.02628484,0.02707676,0.02786805,0.02819477,0.02852137,0.02884787,0.02917426,0.02950055,0.02956074,0.02962094,0.02968112,0.02974131,0.02980149,0.02991796,0.03003442,0.03015086,0.03026729,0.0303837,,,,,,,,,,,,,,,,,,,,
2000-09-06,0.00325332,0.00310082,0.00329843,0.00346001,0.00384261,0.00403467,0.00378284,0.00466908,0.00494527,0.00497759,0.00589048,0.00633978,0.00681949,0.00728368,0.00788738,0.00849072,0.00909369,0.0098018,0.0103517,0.01100758,0.0116693,0.01233058,0.01294289,0.0135481,0.01416638,0.01478023,0.01535178,0.01591274,0.01648583,0.0170586,0.01758415,0.01810366,0.01863443,0.01903763,0.01959598,0.02001533,0.02043451,0.02085351,0.02120175,0.02154987,0.02189978,0.02224956,0.02251512,0.02278061,0.02298485,0.02318904,0.02423397,0.02527781,0.02610949,0.02694049,0.0277708,0.02807032,0.02836975,0.02866909,0.02896834,0.0292675,0.02938597,0.02950443,0.02962288,0.02974131,0.02985973,0.02997425,0.03008876,0.03020325,0.03031774,0.03043221,,,,,,,,,,,,,,,,,,,,
2000-09-07,0.00325332,0.00317705,0.00322553,0.00341468,0.00386253,0.00401222,0.00366328,0.00464918,0.00493299,0.00496764,0.0057566,0.00616141,0.00657504,0.0069885,0.00758986,0.00818426,0.0087915,0.00938582,0.00999822,0.01059919,0.01120487,0.01182334,0.01243782,0.01303167,0.01366563,0.01436631,0.01482142,0.01536358,0.01590544,0.01644701,0.01697144,0.0174956,0.01801949,0.01851749,0.01894204,0.01933507,0.01973227,0.0201293,0.02044536,0.02076133,0.02108242,0.02140342,0.02166658,0.02192967,0.02224175,0.02255374,0.02359933,0.02464383,0.0254338,0.02622315,0.02701187,0.02733886,0.02766575,0.02799253,0.0283192,0.02864576,0.0286205,0.02859523,0.02856996,0.0285447,0.02851943,0.02864188,0.02876431,0.02888673,0.02900914,0.02913153,,,,,,,,,,,,,,,,,,,,
2000-09-08,0.00284663,0.00289747,0.00312386,0.00329587,0.00370313,0.00399449,0.00366328,0.00464918,0.00492897,0.00496764,0.00562815,0.00597183,0.00632303,0.00667411,0.00722559,0.00777072,0.00832765,0.00918766,0.00948868,0.01009403,0.01071759,0.01132088,0.01190918,0.01249714,0.01308475,0.01396208,0.01424125,0.01481017,0.01537877,0.01595328,0.01642136,0.01688407,0.01735685,0.0180069,0.01822222,0.01861488,0.0190117,0.01940836,0.01974589,0.02008332,0.02042994,0.02077645,0.02104242,0.02130832,0.02167194,0.02203543,0.02308156,0.0241266,0.02491373,0.02570023,0.02648613,0.02681329,0.02714035,0.0274673,0.02779414,0.02812088,0.02812671,0.02813254,0.02813838,0.02814421,0.02815004,0.02823754,0.02832503,0.02841251,0.02849999,0.02858746,,,,,,,,,,,,,,,,,,,,
2000-09-11,0.00284666,0.00289749,0.00317418,0.00334012,0.00373302,0.00402822,0.00358357,0.00466908,0.0049438,0.00497759,0.00556116,0.00586464,0.00617477,0.0064848,0.00705974,0.00762804,0.00820863,0.00889036,0.00938401,0.00996797,0.01054989,0.01113147,0.01171992,0.01230803,0.0128958,0.01367605,0.01402993,0.01456397,0.01510957,0.01565489,0.01614933,0.0166381,0.01713748,0.01771221,0.01802341,0.01841005,0.01880078,0.0192041,0.01951591,0.01982763,0.02015151,0.02047528,0.02074543,0.02101551,0.02137878,0.02174192,0.02272482,0.02370676,0.02449422,0.02528106,0.02606728,0.02639458,0.02672177,0.02704886,0.02737584,0.02770271,0.02776496,0.02782721,0.02788945,0.02795169,0.02801392,0.0281306,0.02824726,0.02836391,0.02848055,0.02859717,,,,,,,,,,,,,,,,,,,,
