"V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,0,10,1,3988.2476216628,4094.47425092097,4034,4034
"2",2,0,10,2,3801.30902751595,3963.79583243741,4034,4034
"3",2,0,10,3,4019.90658054618,4149.49481165274,4034,4034
"4",2,0,10,4,4102.28307941684,4111.05277351168,4034,4034
"5",2,0,10,5,1801.45968137921,3081.20193236733,3809,3809
"6",2,0,10,6,3840.71701399046,3981.00579234866,4034,4034
"7",2,0,10,7,3528.94285957022,3545.32671334494,4034,4034
"8",2,0,10,8,3943.53984001789,4032.19177706103,4034,4034
"9",2,0,10,9,4157.03980092063,4096.6812884261,4034,4034
"10",2,0,10,10,1884.75638517313,2764.29663842034,3809,3809
"11",2,0,10,11,3900.81266081699,4019.52116256325,4034,4034
"12",2,0,10,12,3916.72818650667,3653.41672251323,4034,4034
"13",2,0,10,13,3839.30051502251,3947.98487088249,4034,4034
"14",2,0,10,14,4077.49396731793,4099.16555713348,4034,4034
"15",2,0,10,15,1693.14372026385,2986.31027321742,3809,3809
"16",2,0,10,16,4394.42864576918,4211.49146671157,4034,4034
"17",2,0,10,17,3984.96893883769,3984.14032819445,4034,4034
"18",2,0,10,18,4362.169977564,4177.48379933755,4034,4034
"19",2,0,10,19,4296.4211455109,4159.4144800034,4034,4034
"20",2,0,10,20,4380.32868987387,4176.11479686871,3849,3849
"21",2,0,20,1,3940.58798412301,3887.66946247211,4034,4034
"22",2,0,20,2,3062.96765128965,3093.12990066606,4034,4034
"23",2,0,20,3,4001.722065481,3951.47084435316,4034,4034
"24",2,0,20,4,3865.57922175337,3811.14371883563,4034,4034
"25",2,0,20,5,1329.20804967504,1692.50545958582,3809,3809
"26",2,0,20,6,3824.0978722534,3755.60293188885,4034,4034
"27",2,0,20,7,3218.65186890844,3217.06262773997,4034,4034
"28",2,0,20,8,3820.44213465905,3732.99202891725,4034,4034
"29",2,0,20,9,3960.12856401171,3890.10002457462,4034,4034
"30",2,0,20,10,1378.35730809698,1724.15932505469,3809,3809
"31",2,0,20,11,3850.98056645679,3779.20618264506,4034,4034
"32",2,0,20,12,3138.00531201459,3164.52617828978,4034,4034
"33",2,0,20,13,3816.09952274324,3726.42968571721,4034,4034
"34",2,0,20,14,4053.75860386734,3915.43276811351,4034,4034
"35",2,0,20,15,1643.08981065663,1901.94610516419,3809,3809
"36",2,0,20,16,4201.88644660236,4096.31665828849,4034,4034
"37",2,0,20,17,4048.97784480867,3916.40200539543,4034,4034
"38",2,0,20,18,4190.30707519067,4078.00307633151,4034,4034
"39",2,0,20,19,4174.86633303922,4058.16114665499,4034,4034
"40",2,0,20,20,4193.00523192781,4086.06040061141,3849,3849
"41",2,0,30,1,3925.72676279894,3736.81501005098,4034,4034
"42",2,0,30,2,3101.00812564383,2889.92824163021,4034,4034
"43",2,0,30,3,3850.48448566182,3629.97796096683,4034,4034
"44",2,0,30,4,3858.77680448038,3653.42273831767,4034,4034
"45",2,0,30,5,2267.68669640572,2142.19222683971,3809,3809
"46",2,0,30,6,3813.31545580959,3588.58991762589,4034,4034
"47",2,0,30,7,3120.0179923967,2898.46297113861,4034,4034
"48",2,0,30,8,3812.43607006108,3570.13591078504,4034,4034
"49",2,0,30,9,3939.58245073646,3733.68784902789,4034,4034
"50",2,0,30,10,2291.09876930229,2154.8615911371,3809,3809
"51",2,0,30,11,3828.8709999105,3603.51839408886,4034,4034
"52",2,0,30,12,3134.63408121025,2932.53819304375,4034,4034
"53",2,0,30,13,3808.58854491054,3562.13105030834,4034,4034
"54",2,0,30,14,4038.3871767409,3771.232741812,4034,4034
"55",2,0,30,15,1848.77490818723,1630.1081211951,3809,3809
"56",2,0,30,16,4156.10054268945,3939.85703840356,4034,4034
"57",2,0,30,17,4063.42096349822,3827.32788043747,4034,4034
"58",2,0,30,18,4149.11468202022,3924.27825218802,4034,4034
"59",2,0,30,19,4141.61981137238,3914.58871831483,4034,4034
"60",2,0,30,20,4150.05993333884,3929.15660826354,3849,3849
"61",2,0.5,10,1,4263.1362524777,4980.44573591712,4034,4034
"62",2,0.5,10,2,3791.21103514706,4849.99894485447,4034,4034
"63",2,0.5,10,3,4258.64538019343,4884.39232477938,4034,4034
"64",2,0.5,10,4,4104.80343166677,4766.69817230136,4034,4034
"65",2,0.5,10,5,1636.20376926283,3384.92486884482,3809,3809
"66",2,0.5,10,6,3879.64853569567,4839.50121550075,4034,4034
"67",2,0.5,10,7,3800.8633636543,5125.55884859168,4034,4034
"68",2,0.5,10,8,3929.27606436433,4873.24224491471,4034,4034
"69",2,0.5,10,9,4055.96817091631,5083.47571141783,4034,4034
