DATE,Deposit,Lending,MM Rate,CBPRate,CPI,RealGDP,NomGDP
2000-01-03,0.058279187,0.085,0.053145161,0.055,0.023007799,0.046133008,0.062051916
2000-01-04,0.058218516,0.085,0.053193548,0.055,0.023129125,0.046127418,0.062044798
2000-01-05,0.058157845,0.085,0.053241935,0.055,0.023250452,0.046121828,0.06203768
2000-01-06,0.058097174,0.085,0.053290323,0.055,0.023371779,0.046116238,0.062030562
2000-01-07,0.058036503,0.085,0.05333871,0.055,0.023493105,0.046110647,0.062023444
2000-01-10,0.05785449,0.085,0.053483871,0.055,0.023857085,0.046093877,0.06200209
2000-01-11,0.057793819,0.085,0.053532258,0.055,0.023978412,0.046088287,0.061994971
2000-01-12,0.057733148,0.085,0.053580645,0.055,0.024099739,0.046082697,0.061987853
2000-01-13,0.057672477,0.085,0.053629032,0.055,0.024221065,0.046077106,0.061980735
2000-01-14,0.057611806,0.085,0.053677419,0.055,0.024342392,0.046071516,0.061973617
2000-01-17,0.057429794,0.085,0.053822581,0.055,0.024706372,0.046054746,0.061952263
2000-01-18,0.057369123,0.085,0.053870968,0.055,0.024827699,0.046049156,0.061945145
2000-01-19,0.057308452,0.085,0.053919355,0.055,0.024949025,0.046043565,0.061938027
2000-01-20,0.057247781,0.085,0.053967742,0.055,0.025070352,0.046037975,0.061930909
2000-01-21,0.05718711,0.085,0.054016129,0.055,0.025191679,0.046032385,0.061923791
2000-01-24,0.057005097,0.085,0.05416129,0.055,0.025555659,0.046015615,0.061902436
2000-01-25,0.056944426,0.085,0.054209677,0.055,0.025676985,0.046010024,0.061895318
2000-01-26,0.056883755,0.085,0.054258065,0.055,0.025798312,0.046004434,0.0618882
2000-01-27,0.056823084,0.085,0.054306452,0.055,0.025919639,0.045998844,0.061881082
2000-01-28,0.056762413,0.085,0.054354839,0.055,0.026040965,0.045993254,0.061873964
2000-01-31,0.0565804,0.085,0.0545,0.055,0.026283619,0.045982073,0.061859728
2000-02-01,0.056643497,0.08507931,0.054596552,0.055,0.026261881,0.045992563,0.061887135
2000-02-02,0.056706593,0.085158621,0.054693103,0.055,0.026240144,0.046003052,0.061914543
2000-02-03,0.05676969,0.085237931,0.054789655,0.055,0.026218406,0.046013541,0.061941951
2000-02-04,0.056832786,0.085317241,0.054886207,0.055,0.026196669,0.04602403,0.061969358
2000-02-07,0.057022076,0.085555172,0.055175862,0.055,0.026131456,0.046055498,0.062051581
2000-02-08,0.057085172,0.085634483,0.055272414,0.055,0.026109719,0.046065987,0.062078988
2000-02-09,0.057148269,0.085713793,0.055368966,0.055,0.026087981,0.046076476,0.062106396
2000-02-10,0.057211366,0.085793103,0.055465517,0.055,0.026066244,0.046086966,0.062133804
2000-02-11,0.057274462,0.085872414,0.055562069,0.055,0.026044506,0.046097455,0.062161211
2000-02-14,0.057463752,0.086110345,0.055851724,0.055,0.025979294,0.046128922,0.062243434
2000-02-15,0.057526848,0.086189655,0.055948276,0.055,0.025957556,0.046139412,0.062270842
2000-02-16,0.057589945,0.086268966,0.056044828,0.055,0.025935819,0.046149901,0.062298249
2000-02-17,0.057653041,0.086348276,0.056141379,0.055,0.025914081,0.04616039,0.062325657
2000-02-18,0.057716138,0.086427586,0.056237931,0.055,0.025892344,0.046170879,0.062353064
2000-02-21,0.057905428,0.086665517,0.056527586,0.055,0.025827131,0.046202347,0.062435287
2000-02-22,0.057968524,0.086744828,0.056624138,0.055,0.025805394,0.046212836,0.062462695
2000-02-23,0.058031621,0.086824138,0.05672069,0.055,0.025783656,0.046223325,0.062490102
2000-02-24,0.058094717,0.086903448,0.056817241,0.055,0.025761919,0.046233814,0.06251751
2000-02-25,0.058157814,0.086982759,0.056913793,0.055,0.025740181,0.046244304,0.062544918
2000-02-28,0.058347103,0.08722069,0.057203448,0.055,0.025674969,0.046275771,0.06262714
2000-02-29,0.0584102,0.0873,0.0573,0.0575,0.025653231,0.04628626,0.062654548
2000-03-01,0.0584566,0.087332258,0.05733871,0.0575,0.025630081,0.046317728,0.062736771
2000-03-02,0.058503,0.087364516,0.057377419,0.0575,0.025650407,0.046328217,0.062764178
2000-03-03,0.0585494,0.087396774,0.057416129,0.0575,0.025670732,0.046338706,0.062791586
2000-03-06,0.0586886,0.087493548,0.057532258,0.0575,0.025731707,0.046370174,0.062873809
2000-03-07,0.058735,0.087525806,0.057570968,0.0575,0.025752033,0.046380663,0.062901216
2000-03-08,0.0587814,0.087558065,0.057609677,0.0575,0.025772358,0.046391153,0.062928624
2000-03-09,0.0588278,0.087590323,0.057648387,0.0575,0.025792683,0.046401642,0.062956031
2000-03-10,0.0588742,0.087622581,0.057687097,0.0575,0.025813008,0.046412131,0.062983439
2000-03-13,0.0590134,0.087719355,0.057803226,0.0575,0.025873984,0.046443599,0.063065662
2000-03-14,0.0590598,0.087751613,0.057841935,0.0575,0.025894309,0.046454088,0.063093069
2000-03-15,0.0591062,0.087783871,0.057880645,0.0575,0.025914634,0.046464577,0.063120477
2000-03-16,0.0591526,0.087816129,0.057919355,0.0575,0.025934959,0.046475066,0.063147885
2000-03-17,0.059199,0.087848387,0.057958065,0.0575,0.025955285,0.046485555,0.063175292
2000-03-20,0.0593382,0.087945161,0.058074194,0.0575,0.02601626,0.046517023,0.063257515
2000-03-21,0.0593846,0.087977419,0.058112903,0.0575,0.026036585,0.046527512,0.063284922
2000-03-22,0.059431,0.088009677,0.058151613,0.0575,0.026056911,0.046538001,0.06331233
2000-03-23,0.0594774,0.088041935,0.058190323,0.0575,0.026077236,0.046548491,0.063339738
2000-03-24,0.0595238,0.088074194,0.058229032,0.0575,0.026097561,0.04655898,0.063367145
2000-03-27,0.059663,0.088170968,0.058345161,0.0575,0.026158537,0.046590447,0.063449368
2000-03-28,0.0597094,0.088203226,0.058383871,0.0575,0.026178862,0.046600937,0.063476776
2000-03-29,0.0597558,0.088235484,0.058422581,0.0575,0.026199187,0.046611426,0.063504183
2000-03-30,0.0598022,0.088267742,0.05846129,0.0575,0.026219512,0.046621915,0.063531591
2000-03-31,0.0598486,0.0883,0.0585,0.06,0.026219512,0.046621915,0.063531591
2000-04-03,0.05996953,0.08847,0.05867,0.06,0.026280105,0.046653383,0.063613814
2000-04-04,0.06000984,0.088526667,0.058726667,0.06,0.026300303,0.046663872,0.063641221
2000-04-05,0.06005015,0.088583333,0.058783333,0.06,0.0263205,0.046674361,0.063668629
2000-04-06,0.06009046,0.08864,0.05884,0.06,0.026340698,0.04668485,0.063696036
2000-04-07,0.06013077,0.088696667,0.058896667,0.06,0.026360895,0.04669534,0.063723444
2000-04-10,0.0602517,0.088866667,0.059066667,0.06,0.026421488,0.046726807,0.063805667
2000-04-11,0.06029201,0.088923333,0.059123333,0.06,0.026441686,0.046737296,0.063833074
2000-04-12,0.06033232,0.08898,0.05918,0.06,0.026461883,0.046747786,0.063860482
2000-04-13,0.06037263,0.089036667,0.059236667,0.06,0.026482081,0.046758275,0.063887889
2000-04-14,0.06041294,0.089093333,0.059293333,0.06,0.026502278,0.046768764,0.063915297
2000-04-17,0.06053387,0.089263333,0.059463333,0.06,0.026562871,0.046800232,0.06399752
2000-04-18,0.06057418,0.08932,0.05952,0.06,0.026583069,0.046810721,0.064024927
2000-04-19,0.06061449,0.089376667,0.059576667,0.06,0.026603266,0.04682121,0.064052335
2000-04-20,0.0606548,0.089433333,0.059633333,0.06,0.026623464,0.046831699,0.064079743
2000-04-21,0.06069511,0.08949,0.05969,0.06,0.026643662,0.046842188,0.06410715
2000-04-24,0.06081604,0.08966,0.05986,0.06,0.026704254,0.046873656,0.064189373
2000-04-25,0.06085635,0.089716667,0.059916667,0.06,0.026724452,0.046884145,0.064216781
2000-04-26,0.06089666,0.089773333,0.059973333,0.06,0.02674465,0.046894634,0.064244188
2000-04-27,0.06093697,0.08983,0.06003,0.06,0.026764847,0.046905124,0.064271596
2000-04-28,0.06097728,0.089886667,0.060086667,0.06,0.026785045,0.046915613,0.064299003
2000-05-01,0.061165248,0.090077419,0.060280645,0.06,0.026863163,0.046889089,0.064352941
2000-05-02,0.061272597,0.090154839,0.06036129,0.06,0.026880688,0.046831097,0.064324657
2000-05-03,0.061379945,0.090232258,0.060441935,0.06,0.026898214,0.046773105,0.064296372
2000-05-04,0.061487294,0.090309677,0.060522581,0.06,0.026915739,0.046715113,0.064268088
2000-05-05,0.061594642,0.090387097,0.060603226,0.06,0.026933264,0.046657121,0.064239803
2000-05-08,0.061916687,0.090619355,0.060845161,0.06,0.02698584,0.046483146,0.064154949
2000-05-09,0.062024035,0.090696774,0.060925806,0.06,0.027003366,0.046425154,0.064126665
2000-05-10,0.062131384,0.090774194,0.061006452,0.06,0.027020891,0.046367163,0.06409838
2000-05-11,0.062238732,0.090851613,0.061087097,0.06,0.027038416,0.046309171,0.064070095
2000-05-12,0.062346081,0.090929032,0.061167742,0.06,0.027055942,0.046251179,0.064041811
2000-05-15,0.062668126,0.09116129,0.061409677,0.06,0.027108517,0.046077204,0.063956957
2000-05-16,0.062775474,0.09123871,0.061490323,0.06,0.027126043,0.046019212,0.063928672
