DATE,0.003,0.005,0.019,0.038,0.083,0.167,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2000-01-03,0.05829438,0.05778672,0.05879896,0.0582552,0.05696617,0.05963025,0.05877821,0.05993733,0.06261041,0.06350987,0.06494375,0.06595158,0.06696869,0.06798476,0.06834159,0.06867962,0.06902127,0.06915286,0.06948315,0.06960442,0.06972101,0.06983758,0.07005298,0.07027112,0.07048456,0.07050506,0.07083118,0.07096067,0.07108827,0.07121773,0.07132202,0.07142817,0.07153244,0.07144586,0.07171769,0.07179773,0.07187684,0.07195781,0.0720797,0.07220158,0.07232252,0.07244344,0.07252994,0.07261643,0.07260806,0.07259969,0.07317472,0.07374941,0.07390452,0.07405961,0.07421468,0.07436935,0.074524,0.07467862,0.07483322,0.0749878,0.07514217,0.07529651,0.07545083,0.07560512,0.07575939,0.07547497,0.07519047,0.07490588,0.07462122,0.07433647,,,,,,,,,,,,,,,,,,,,
2000-01-04,0.05591141,0.05598801,0.0568103,0.05667706,0.05636143,0.0597951,0.05875935,0.06057756,0.06341508,0.06406341,0.06548339,0.06610979,0.06674234,0.06738852,0.06772033,0.06806324,0.06841724,0.06894754,0.06885326,0.0689466,0.06903994,0.06913233,0.06932175,0.06951394,0.06970515,0.07008561,0.07002594,0.07015646,0.07028697,0.07041839,0.07052556,0.07063273,0.07074174,0.07103612,0.07095787,0.07106778,0.07117861,0.07129129,0.07139605,0.07150079,0.07160552,0.07171024,0.07181356,0.07191686,0.07211413,0.07231136,0.0726262,0.07294093,0.07315039,0.07335981,0.07356918,0.07377858,0.07398792,0.07419723,0.07440648,0.0746157,0.07482487,0.075034,0.07524308,0.07545213,0.07566112,0.07526351,0.07486573,0.0744678,0.07406971,0.07367146,,,,,,,,,,,,,,,,,,,,
2000-01-05,0.05515179,0.05540443,0.05633307,0.05617592,0.05580361,0.05968112,0.05874992,0.06056815,0.06315882,0.06406341,0.06543,0.06627171,0.06714076,0.06798196,0.0682977,0.0686124,0.06892794,0.06943277,0.06936374,0.06948222,0.06960069,0.06972101,0.06996347,0.07020773,0.07045474,0.0707846,0.0708023,0.07090291,0.07100445,0.07110597,0.07123915,0.0713751,0.07151196,0.07173444,0.07175771,0.07186567,0.07197921,0.07208622,0.07217414,0.07226206,0.07235043,0.07243879,0.07257505,0.07271128,0.07292513,0.07313893,0.07350508,0.07387109,0.07407633,0.07428153,0.07448669,0.07469106,0.07489539,0.07509968,0.07530393,0.07550813,0.07571248,0.07591679,0.07612106,0.07632528,0.07652947,0.07613264,0.07573566,0.07533853,0.07494123,0.07454378,,,,,,,,,,,,,,,,,,,,
2000-01-06,0.0558613,0.05539876,0.05590952,0.05583878,0.0556712,0.05942107,0.0586462,0.06051167,0.06316351,0.06402589,0.06536068,0.06608358,0.06680688,0.06752873,0.06786143,0.06818001,0.06849848,0.06920885,0.06889713,0.06896527,0.06903527,0.06910433,0.06934134,0.06958763,0.06983665,0.07057961,0.07021799,0.07034755,0.07047897,0.07061223,0.0707436,0.07087869,0.07102028,0.07152034,0.07126522,0.0713751,0.07148683,0.07159575,0.07168418,0.0717726,0.07186195,0.07195129,0.07206993,0.07218856,0.07249646,0.07280427,0.07309664,0.07338893,0.07359489,0.07380081,0.07400668,0.07421227,0.07441781,0.07462331,0.07482877,0.07503419,0.07523993,0.07544563,0.07565129,0.07585691,0.07606249,0.07555253,0.07504232,0.07453184,0.07402111,0.07351011,,,,,,,,,,,,,,,,,,,,
2000-01-07,0.05600408,0.05604474,0.056455,0.05625044,0.05576578,0.05946159,0.05813682,0.05988082,0.06319637,0.06403527,0.06536911,0.0660583,0.0667545,0.06745022,0.06774369,0.06803708,0.06833319,0.0689102,0.06874124,0.06884953,0.0689578,0.06906887,0.06927417,0.06947849,0.06968556,0.07016951,0.07001941,0.070149,0.07028044,0.07041093,0.07054513,0.07068118,0.07081814,0.07111994,0.07103518,0.07111435,0.07119538,0.0712764,0.07136486,0.07145331,0.07154455,0.07163578,0.07175492,0.07187405,0.0721439,0.07241368,0.07267409,0.07293443,0.07309246,0.07325046,0.07340844,0.07356584,0.07372321,0.07388056,0.07403788,0.07419518,0.07435264,0.07451008,0.07466749,0.07482487,0.07498223,0.07469855,0.07441479,0.07413095,0.07384702,0.07356302,,,,,,,,,,,,,,,,,,,,
2000-01-10,0.05748275,0.05702663,0.05703891,0.05668917,0.05586035,0.05965474,0.0582123,0.05992791,0.06319355,0.06407279,0.06538035,0.06612289,0.06687329,0.06762313,0.06798663,0.06834066,0.06869829,0.06914353,0.06915193,0.06924337,0.06933948,0.06942998,0.06964732,0.06986462,0.07008374,0.07049574,0.07040161,0.07050227,0.07060384,0.0707054,0.07080975,0.07091595,0.07102308,0.07132482,0.07121028,0.07129036,0.07137231,0.07145331,0.07157387,0.07169442,0.07181821,0.07194199,0.07202899,0.07211599,0.07229741,0.07247879,0.07286516,0.07325139,0.07340751,0.07356361,0.07371968,0.07387536,0.07403101,0.07418664,0.07434224,0.07449782,0.07465338,0.07480891,0.07496442,0.0751199,0.07527536,0.07499146,0.07470747,0.07442341,0.07413926,0.07385504,,,,,,,,,,,,,,,,,,,,
2000-01-11,0.05839532,0.05814154,0.05751202,0.05704159,0.05592654,0.05970655,0.05824061,0.06059639,0.06335782,0.06407279,0.06569223,0.06662447,0.06756612,0.0685265,0.06886726,0.06921911,0.06958203,0.07007628,0.07011637,0.07030002,0.07048456,0.07066534,0.07081255,0.07095974,0.07110783,0.07139931,0.07136951,0.07148403,0.07159947,0.07171583,0.07183496,0.07195687,0.07207877,0.07233927,0.07231043,0.07242019,0.07253087,0.07264433,0.07273267,0.072821,0.07290933,0.07299764,0.07310129,0.07320492,0.07338103,0.07355711,0.07400204,0.07444677,0.07460023,0.07475367,0.07490708,0.07506035,0.07521359,0.07536681,0.07552,0.07567318,0.07582614,0.07597908,0.07613199,0.07628489,0.07643776,0.07604053,0.07564316,0.07524562,0.07484792,0.07445007,,,,,,,,,,,,,,,,,,,,
2000-01-12,0.05606365,0.05621586,0.05686509,0.05656411,0.05585089,0.05965757,0.0582123,0.06057756,0.06351831,0.06407279,0.06599652,0.06690509,0.06784368,0.06875151,0.06912953,0.06950741,0.06988514,0.07021612,0.07036899,0.07047338,0.07057775,0.07068211,0.07095135,0.07122238,0.07149707,0.07177167,0.07187033,0.07196897,0.07206947,0.07216902,0.07230113,0.07243693,0.07257365,0.07270198,0.07281821,0.07292699,0.07303947,0.07314823,0.07323606,0.07332388,0.07341169,0.0734995,0.07361935,0.07373919,0.07385715,0.07397511,0.07438551,0.07479574,0.07500419,0.0752126,0.07542097,0.07562867,0.07583633,0.07604395,0.07625153,0.07645906,0.07666674,0.07687437,0.07708196,0.07728951,0.07749701,0.07709603,0.07669488,0.07629358,0.07589212,0.07549049,,,,,,,,,,,,,,,,,,,,
2000-01-13,0.05555674,0.05562674,0.05611943,0.05598638,0.0556712,0.05941731,0.0586179,0.06049285,0.0636891,0.06456977,0.06599371,0.06671054,0.06742778,0.06814358,0.06854984,0.0689438,0.06933855,0.06995508,0.0697779,0.06980681,0.06983572,0.06986556,0.07017417,0.0705032,0.07083584,0.07141793,0.07124939,0.07132016,0.07139186,0.07146634,0.07158178,0.0717028,0.07182752,0.07248809,0.07201364,0.07207877,0.07214297,0.07220717,0.0723281,0.07244903,0.07257179,0.07269455,0.07289631,0.07309803,0.07343446,0.07377077,0.07386876,0.07396675,0.07423108,0.07449535,0.07475955,0.07502435,0.07528909,0.07555376,0.07581835,0.07608288,0.07634752,0.07661209,0.07687659,0.07714102,0.07740539,0.07677739,0.07614899,0.07552021,0.07489102,0.07426144,,,,,,,,,,,,,,,,,,,,
2000-01-14,0.05488962,0.05563904,0.05636805,0.0563268,0.05622909,0.05944652,0.05847643,0.06026691,0.06369004,0.06409155,0.06606486,0.06685552,0.06765398,0.06845273,0.06875898,0.0690642,0.06937213,0.0697779,0.06983105,0.06997745,0.0701257,0.07027858,0.07054886,0.07082093,0.07109386,0.07156689,0.07149614,0.07162367,0.07175213,0.0718815,0.07201457,0.07214855,0.07228531,0.07250669,0.07249925,0.0725783,0.07265735,0.07273732,0.07282565,0.07291397,0.07300461,0.07309525,0.07324674,0.07339822,0.07358916,0.07378006,0.07407911,0.07437808,0.07464261,0.07490708,0.07517148,0.07543432,0.07569709,0.0759598,0.07622244,0.076485,0.07674806,0.07701104,0.07727396,0.0775368,0.07779958,0.07728392,0.07676799,0.07625179,0.07573533,0.0752186,,,,,,,,,,,,,,,,,,,,
2000-01-17,0.05525304,0.05667235,0.05692461,0.05671537,0.05621964,0.05976496,0.05824061,0.06030457,0.06373038,0.06412906,0.06611634,0.06694718,0.06778761,0.0686264,0.06896714,0.06929469,0.06962494,0.07011358,0.07016765,0.07037831,0.07059545,0.07080789,0.07095322,0.07109945,0.0712466,0.07154827,0.07155013,0.07170745,0.07186661,0.07202573,0.07215972,0.07229368,0.07243042,0.07271128,0.07264619,0.07272616,0.07280705,0.07288887,0.07297533,0.07306178,0.07315008,0.07323838,0.07332481,0.07341123,0.07357244,0.07373362,0.07410604,0.07447833,0.07468933,0.07490028,0.07511118,0.07532155,0.07553187,0.07574215,0.07595238,0.07616257,0.07637253,0.07658245,0.07679232,0.07700215,0.07721194,0.07681047,0.07640883,0.07600704,0.07560509,0.07520297,,,,,,,,,,,,,,,,,,,,
2000-01-18,0.05910535,0.05798962,0.05747331,0.05708166,0.05615346,0.05981111,0.05822174,0.06029516,0.06370411,0.06411968,0.066092,0.06693502,0.06778668,0.06865628,0.06900914,0.069374,0.06975178,0.07060757,0.07026273,0.07040627,0.07054979,0.07069422,0.07096253,0.07123263,0.07150638,0.07227415,0.07190662,0.07203411,0.07216158,0.07228996,0.07242391,0.07255877,0.07269548,0.07330622,0.07294,0.07304877,0.07315845,0.07327184,0.07342145,0.07357104,0.07372247,0.07387387,0.07395793,0.07404197,0.07437529,0.07470851,0.07493584,0.07516313,0.07536718,0.07557119,0.07577515,0.07597871,0.07618222,0.07638569,0.07658912,0.07679251,0.07699586,0.07719916,0.07740243,0.07760565,0.07780883,0.07729504,0.07678098,0.07626666,0.07575208,0.07523723,,,,,,,,,,,,,,,,,,,,
2000-01-19,0.05525304,0.0558613,0.05665818,0.05650276,0.05613456,0.05972539,0.0582123,0.06028574,0.06370599,0.06411968,0.06614161,0.06693502,0.06775304,0.06854517,0.06893727,0.06932828,0.06972007,0.07031866,0.07023197,0.07035035,0.07046778,0.07058613,0.07082932,0.07107244,0.07131923,0.07177167,0.07172141,0.0718787,0.07203783,0.072196,0.07232996,0.07246391,0.07259969,0.07293443,0.07284332,0.07295209,0.07306457,0.07317425,0.07329182,0.07340937,0.07352784,0.07364629,0.07376473,0.07388316,0.07410558,0.07432795,0.07463101,0.07493399,0.07513901,0.07534399,0.07554893,0.07575346,0.07595795,0.07616239,0.07636679,0.07657115,0.07677547,0.07697974,0.07718398,0.07738817,0.07759232,0.07708142,0.07657026,0.07605884,0.07554715,0.07503521,,,,,,,,,,,,,,,,,,,,
2000-01-20,0.05489814,0.05515747,0.05582063,0.05585207,0.05592654,0.05947573,0.05838211,0.06021983,0.06368253,0.06407279,0.0661622,0.06703228,0.06790254,0.06877111,0.06918085,0.06957364,0.0699672,0.07009493,0.07044169,0.07050879,0.07057588,0.07064391,0.07095787,0.07128571,0.07161809,0.0716786,0.07209552,0.07223694,0.07238019,0.07252622,0.07267037,0.07281821,0.07297161,0.07272058,0.07323002,0.07333875,0.07344747,0.07355711,0.07364397,0.07373083,0.07381861,0.07390638,0.07402479,0.07414319,0.07405915,0.07397511,0.07458693,0.07519838,0.07540613,0.07561384,0.0758215,0.07602913,0.0762367,0.07644424,0.07665173,0.07685918,0.07706678,0.07727433,0.07748183,0.07768929,0.07789671,0.07737986,0.07686275,0.07634536,0.07582771,0.07530978,,,,,,,,,,,,,,,,,,,,
2000-01-21,0.05428172,0.05477792,0.05617615,0.05613574,0.05604001,0.05946159,0.05842927,0.06023866,0.0636891,0.06408217,0.06603865,0.06678724,0.06754462,0.0683005,0.06866935,0.06903807,0.06941132,0.07037458,0.06990938,0.07002967,0.07014994,0.07027392,0.07057402,0.07087403,0.07117396,0.07217181,0.07165905,0.07184427,0.07202853,0.07221554,0.07234764,0.07248065,0.07261457,0.07332481,0.07288701,0.07302646,0.07316682,0.07330808,0.0734261,0.0735441,0.07366487,0.07378563,0.0739022,0.07401875,0.07442867,0.07483842,0.07487693,0.07491543,0.07507006,0.07522466,0.07537924,0.07553317,0.07568708,0.07584097,0.07599483,0.07614867,0.07630268,0.07645665,0.07661061,0.07676454,0.07691845,0.07652052,0.07612243,0.07572419,0.07532579,0.07492723,,,,,,,,,,,,,,,,,,,,
2000-01-24,0.05606365,0.0558613,0.05685376,0.05671323,0.05638033,0.05976402,0.05848587,0.06028574,0.06374915,0.06440101,0.06591507,0.06652249,0.06713515,0.06774836,0.06814451,0.06853864,0.06893634,0.06991778,0.06947009,0.06960162,0.06973779,0.06986929,0.07011358,0.07035781,0.07060104,0.0714831,0.07098954,0.07113205,0.07127546,0.07141979,0.07155199,0.07168604,0.07182193,0.07254389,0.07203597,0.07211413,0.07219321,0.07227322,0.07242438,0.07257551,0.07273035,0.07288515,0.07300415,0.07312313,0.07353527,0.07394724,0.07405683,0.0741664,0.07431928,0.07447214,0.07462498,0.07477755,0.07493009,0.07508261,0.07523511,0.07538758,0.07554022,0.07569283,0.07584542,0.07599798,0.07615053,0.07575495,0.07535922,0.07496334,0.07456729,0.07417109,,,,,,,,,,,,,,,,,,,,
2000-01-25,0.05636805,0.05672243,0.05714941,0.05694079,0.05644649,0.05979416,0.05851416,0.06029516,0.06366001,0.06411968,0.06588886,0.06663757,0.06739319,0.068166,0.06853303,0.068913,0.06930496,0.06962867,0.06978909,0.06989353,0.06999797,0.07010332,0.07037272,0.07064391,0.07091875,0.07108269,0.07132109,0.07144772,0.07157713,0.07170559,0.0717968,0.07188708,0.07197921,0.07201364,0.07217833,0.07228717,0.07239694,0.07250948,0.07261364,0.07271779,0.07282193,0.07292606,0.07301252,0.07309896,0.0731933,0.07328764,0.07368903,0.07409026,0.07419549,0.07430072,0.07440593,0.07451082,0.0746157,0.07472057,0.07482543,0.07493028,0.07503511,0.07513994,0.07524475,0.07534956,0.07545435,0.07528234,0.0751103,0.07493823,0.07476614,0.07459401,,,,,,,,,,,,,,,,,,,,
2000-01-26,0.05540443,0.0552275,0.05656652,0.05649722,0.05633307,0.05970844,0.05847643,0.06027633,0.06361966,0.0641103,0.06594035,0.06673673,0.06755864,0.06835373,0.06869549,0.0690362,0.06937773,0.06991778,0.06983945,0.06995787,0.07007628,0.07019655,0.07043889,0.07068304,0.07092993,0.0714831,0.07127826,0.07137882,0.07148031,0.07158178,0.07168697,0.07179215,0.07190011,0.07209738,0.07208435,0.07216251,0.07224345,0.07232159,0.07241089,0.07250018,0.07258993,0.07267967,0.07276707,0.07285447,0.07305249,0.07325046,0.07341262,0.07357476,0.0737395,0.07390421,0.0740689,0.07423325,0.07439757,0.07456187,0.07472614,0.07489038,0.0750546,0.07521878,0.07538294,0.07554708,0.07571119,0.07531833,0.07492533,0.07453217,0.07413885,0.07374538,,,,,,,,,,,,,,,,,,,,
2000-01-27,0.05636805,0.05689343,0.05735528,0.05706875,0.05638979,0.05964438,0.05817456,0.0602575,0.06368441,0.06409155,0.06613787,0.06708559,0.06803241,0.06897834,0.06935161,0.06970515,0.0700595,0.07057961,0.07055538,0.0706877,0.0708228,0.07095694,0.07119724,0.07144027,0.07168511,0.07215321,0.07202015,0.07210575,0.07219135,0.07227973,0.0723681,0.07245926,0.07255319,0.07285075,0.07269455,0.07274383,0.07279311,0.07284332,0.07290189,0.07296046,0.07301995,0.07307944,0.07313568,0.07319191,0.07354178,0.07389152,0.07394678,0.07400204,0.07406704,0.07413204,0.07419704,0.07426185,0.07432665,0.07439145,0.07445624,0.07452103,0.07458582,0.0746506,0.07471537,0.07478015,0.07484491,0.07445507,0.07406507,0.07367492,0.07328462,0.07289416,,,,,,,,,,,,,,,,,,,,
2000-01-28,0.05635954,0.05653911,0.05764796,0.0573503,0.05664495,0.05976119,0.05845757,0.06054932,0.06382233,0.06496343,0.06638681,0.0674848,0.06858065,0.06967531,0.06999144,0.07030934,0.0706262,0.071092,0.07106592,0.07118513,0.07130433,0.07142258,0.07163671,0.07185451,0.07207133,0.07232066,0.07238019,0.0724667,0.07255505,0.07264247,0.07270198,0.07276614,0.07282844,0.07279497,0.07294093,0.07299206,0.07304319,0.07309432,0.07312174,0.07314916,0.07317704,0.07320492,0.07326161,0.0733183,0.07327044,0.07322258,0.07368299,0.07414319,0.07421128,0.07427936,0.07434744,0.07441521,0.07448297,0.07455073,0.07461848,0.07468623,0.07475416,0.07482209,0.07489001,0.07495793,0.07502584,0.07485581,0.07468576,0.07451567,0.07434556,0.07417542,,,,,,,,,,,,,,,,,,,,
2000-01-31,0.0592062,0.05814154,0.05895358,0.05845359,0.05726841,0.06027538,0.05879707,0.06087871,0.0646532,0.06528199,0.06725576,0.06822391,0.06919205,0.07015926,0.07058241,0.07100258,0.07142165,0.07193919,0.07201085,0.07218112,0.07235508,0.07252343,0.07268339,0.07284332,0.07300415,0.07315752,0.07323652,0.07330808,0.07337964,0.07345211,0.07352738,0.07360449,0.0736816,0.07363143,0.07377913,0.07379957,0.07382,0.07383951,0.07388223,0.07392496,0.07396907,0.07401318,0.07405404,0.0740949,0.07407679,0.07405869,0.07433166,0.07460456,0.07467943,0.07475429,0.07482914,0.07490393,0.07497871,0.07505348,0.07512825,0.07520302,0.07527777,0.07535253,0.07542727,0.07550201,0.07557675,0.07529577,0.07501471,0.07473357,0.07445236,0.07417106,,,,,,,,,,,,,,,,,,,,
