"V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,0,10,1,6208.40414018963,6356.68607869499,4282,4282
"2",2,0,10,2,5760.54811678793,6061.65492814243,4282,4282
"3",2,0,10,3,5973.08641427071,6266.4636158994,4282,4282
"4",2,0,10,4,5340.42071145567,5862.17583343878,4282,4282
"5",2,0,10,5,5337.40649876802,5090.0534149269,4262,4262
"6",2,0,10,6,5331.13721565397,5838.45995809104,4282,4282
"7",2,0,10,7,4321.7186155884,5106.85298836943,4282,4282
"8",2,0,10,8,5197.89631486906,5744.87283550024,4282,4282
"9",2,0,10,9,4797.00714669905,5522.38523444117,4282,4282
"10",2,0,10,10,6406.94199098127,4827.08348196664,4262,4262
"11",2,0,10,11,5653.8360490838,6079.12906373911,4282,4282
"12",2,0,10,12,5109.03319309784,5497.01782898166,4282,4282
"13",2,0,10,13,5300.55662729595,5789.47997072376,4282,4282
"14",2,0,10,14,5040.88335496996,5664.20806872845,4282,4282
"15",2,0,10,15,5459.76623511306,4953.73803824274,4262,4262
"16",2,0,10,16,5229.97362802138,5781.53018901703,4282,4282
"17",2,0,10,17,5502.83657026183,5865.10394990496,4282,4282
"18",2,0,10,18,5168.80740786893,5724.67443600234,4282,4282
"19",2,0,10,19,5161.40527313216,5729.46814866611,4282,4282
"20",2,0,10,20,4915.76216252342,5588.71015152182,4262,4262
"21",2,0,20,1,5447.82946678069,5336.72386038712,4282,4282
"22",2,0,20,2,4220.01584732512,4310.03988645338,4282,4282
"23",2,0,20,3,5409.91912685108,5319.7592373266,4282,4282
"24",2,0,20,4,5081.01269800201,5047.75900083676,4282,4282
"25",2,0,20,5,3862.30042125051,3798.76471683968,4262,4262
"26",2,0,20,6,5221.31615545378,5172.48015792872,4282,4282
"27",2,0,20,7,3851.43475294404,3991.58588948206,4282,4282
"28",2,0,20,8,4966.48234105372,4937.70098636017,4282,4282
"29",2,0,20,9,5369.77430256654,5278.45265768354,4282,4282
"30",2,0,20,10,3815.85334353904,3751.63600092025,4262,4262
"31",2,0,20,11,5326.62507116585,5275.26304971983,4282,4282
"32",2,0,20,12,4562.03596947766,4563.2786797764,4282,4282
"33",2,0,20,13,5058.45659375732,5014.77337000687,4282,4282
"34",2,0,20,14,4912.77517963286,4923.01133086612,4282,4282
"35",2,0,20,15,3801.47078806403,3738.06383653088,4262,4262
"36",2,0,20,16,5001.54709114715,5043.00247205668,4282,4282
"37",2,0,20,17,5059.12181472973,5103.13563513283,4282,4282
"38",2,0,20,18,4976.47421542276,5027.66258070272,4282,4282
"39",2,0,20,19,4983.85679476078,5031.66041410917,4282,4282
"40",2,0,20,20,4887.45261657532,4956.33858432336,4262,4262
"41",2,0,30,1,5048.44605717487,4807.07814288948,4282,4282
"42",2,0,30,2,4130.05551325605,3975.32746290172,4282,4282
"43",2,0,30,3,4896.02660840592,4599.03114436945,4282,4282
"44",2,0,30,4,4863.93456369957,4563.24203679089,4282,4282
"45",2,0,30,5,3279.40674888777,3324.52099744737,4262,4262
"46",2,0,30,6,4926.02728912925,4689.39547673821,4282,4282
"47",2,0,30,7,4173.61626735245,4003.46940698948,4282,4282
"48",2,0,30,8,4730.0062257584,4435.81299028579,4282,4282
"49",2,0,30,9,5025.86920887385,4742.61768222414,4282,4282
"50",2,0,30,10,3315.72426615703,3349.14246634548,4262,4262
"51",2,0,30,11,4978.26165500455,4740.86238475474,4282,4282
"52",2,0,30,12,4322.29527937543,4091.2363042095,4282,4282
"53",2,0,30,13,4769.24647131644,4478.35841595497,4282,4282
"54",2,0,30,14,4730.33876122815,4431.28069649937,4282,4282
"55",2,0,30,15,3318.10005288841,3434.71913810983,4262,4262
"56",2,0,30,16,4713.10687008986,4604.41606798997,4282,4282
"57",2,0,30,17,4711.68457339457,4643.17323586322,4282,4282
"58",2,0,30,18,4698.98302213608,4600.57347060607,4282,4282
"59",2,0,30,19,4711.19980316161,4594.64118013221,4282,4282
"60",2,0,30,20,4656.16589412357,4565.17097018419,4262,4262
"61",2,0.5,10,1,7277.51274342534,7547.02644847888,4282,4282
"62",2,0.5,10,2,6585.23686195551,6774.77794759319,4282,4282
"63",2,0.5,10,3,6972.45426640186,7119.14636996312,4282,4282
"64",2,0.5,10,4,5553.65222596122,5513.74728271386,4282,4282
"65",2,0.5,10,5,6137.63388623342,5087.75331268022,4262,4262
"66",2,0.5,10,6,5480.02631573961,5848.81873316881,4282,4282
"67",2,0.5,10,7,4568.46533670333,5729.80791145945,4282,4282
"68",2,0.5,10,8,5373.39677292254,5538.08760629456,4282,4282
"69",2,0.5,10,9,4887.00484872836,5812.75188034568,4282,4282
"70",2,0.5,10,10,7234.0209090005,5327.40308583202,4262,4262
"71",2,0.5,10,11,6105.93915602836,6329.18663792487,4282,4282
"72",2,0.5,10,12,5519.41921813701,5924.71054664112,4282,4282
"73",2,0.5,10,13,5452.30711142773,5556.97914073928,4282,4282
"74",2,0.5,10,14,5208.81186677105,5600.4429186316,4282,4282
"75",2,0.5,10,15,6269.20162616685,5048.84531820052,4262,4262
"76",2,0.5,10,16,5414.8598093927,6530.68042751864,4282,4282
"77",2,0.5,10,17,5762.3574604542,6257.30294609563,4282,4282
"78",2,0.5,10,18,5324.31154460987,6479.08836037932,4282,4282
"79",2,0.5,10,19,5195.78512386615,6176.53342170025,4282,4282
"80",2,0.5,10,20,4953.35848389075,6563.56096154362,4262,4262
"81",2,0.5,20,1,5524.98511918961,5513.40035634692,4282,4282
"82",2,0.5,20,2,4283.8706823223,4676.71758072509,4282,4282
"83",2,0.5,20,3,5511.59809012462,5450.58134176186,4282,4282
"84",2,0.5,20,4,5182.23238591224,5164.85983308344,4282,4282
"85",2,0.5,20,5,3820.3280434553,4005.5550555721,4262,4262
"86",2,0.5,20,6,5307.9664597664,5316.6964570888,4282,4282
"87",2,0.5,20,7,3901.8204504354,4316.0125016779,4282,4282
"88",2,0.5,20,8,5040.17913967916,5161.71513194557,4282,4282
"89",2,0.5,20,9,5466.10670739388,5431.30224107732,4282,4282
"90",2,0.5,20,10,3781.11418187333,3953.19211646845,4262,4262
"91",2,0.5,20,11,5444.21845157974,5426.39402247113,4282,4282
"92",2,0.5,20,12,4631.02722998338,4874.55193583165,4282,4282
"93",2,0.5,20,13,5143.58055837965,5224.99282746462,4282,4282
"94",2,0.5,20,14,4995.39114878148,5030.02415918525,4282,4282
"95",2,0.5,20,15,3782.30886992337,3888.73684358295,4262,4262
"96",2,0.5,20,16,5072.41652760478,5072.77553373895,4282,4282
"97",2,0.5,20,17,5137.43589305647,5196.21660459665,4282,4282
"98",2,0.5,20,18,5045.17569500071,5070.2226271437,4282,4282
"99",2,0.5,20,19,5053.60565216275,5143.83426547511,4282,4282
"100",2,0.5,20,20,4958.29118261327,5023.00321850988,4262,4262
"101",2,0.5,30,1,4404.5623470256,4875.03383131745,4282,4282
"102",2,0.5,30,2,4176.83456023995,4188.9276557376,4282,4282
"103",2,0.5,30,3,4768.51971648198,5070.07028150105,4282,4282
"104",2,0.5,30,4,4737.82351358701,4921.07868393276,4282,4282
"105",2,0.5,30,5,3010.6758779118,3298.99153156186,4262,4262
"106",2,0.5,30,6,4762.90296145677,4955.22853756678,4282,4282
"107",2,0.5,30,7,4241.41480831703,4192.91599712142,4282,4282
"108",2,0.5,30,8,4672.35620285033,4651.1618746749,4282,4282
"109",2,0.5,30,9,4662.00776817174,4988.55721029978,4282,4282
"110",2,0.5,30,10,3035.08715023256,3316.29976657106,4262,4262
"111",2,0.5,30,11,4614.57900521683,4995.82205088086,4282,4282
"112",2,0.5,30,12,4380.13423672018,4342.9758345592,4282,4282
"113",2,0.5,30,13,4670.29366620453,4745.17724681927,4282,4282
"114",2,0.5,30,14,4711.71155406285,4489.87763548399,4282,4282
"115",2,0.5,30,15,3073.57950169671,3697.59882699381,4262,4262
"116",2,0.5,30,16,4761.89512867124,4656.83979276789,4282,4282
"117",2,0.5,30,17,4696.14650096271,4610.7810592597,4282,4282
"118",2,0.5,30,18,4747.36535180398,4662.73280927587,4282,4282
"119",2,0.5,30,19,4808.82486351664,4583.80349695198,4282,4282
"120",2,0.5,30,20,4748.63881484413,4660.80144266799,4262,4262
"121",2,1.5,10,1,8552.1555179835,6031.73229063815,4282,4282
"122",2,1.5,10,2,8056.98448062949,5732.91515116543,4282,4282
"123",2,1.5,10,3,8272.23360699714,5919.36474038831,4282,4282
"124",2,1.5,10,4,7252.09972175065,5423.03391673973,4282,4282
