DATE,Deposit,Lending,MM Rate,CBPRate,CPI,RealGDP,NomGDP
2005-06-09,0.05936,0.105,0.0646,0.07,0.028694909,0.055025029,0.117014182
2005-06-10,0.059333333,0.105,0.064633333,0.07,0.028571974,0.054967482,0.11675205
2005-06-13,0.059253333,0.105,0.064733333,0.07,0.028203169,0.05479484,0.115965653
2005-06-14,0.059226667,0.105,0.064766667,0.07,0.028080234,0.054737293,0.115703521
2005-06-15,0.0592,0.105,0.0648,0.07,0.027957299,0.054679746,0.115441389
2005-06-16,0.059173333,0.105,0.064833333,0.07,0.027834364,0.054622198,0.115179256
2005-06-17,0.059146667,0.105,0.064866667,0.07,0.027711429,0.054564651,0.114917124
2005-06-20,0.059066667,0.105,0.064966667,0.07,0.027342624,0.05439201,0.114130728
2005-06-21,0.05904,0.105,0.065,0.07,0.027219689,0.054334462,0.113868595
2005-06-22,0.059013333,0.105,0.065033333,0.07,0.027096754,0.054276915,0.113606463
2005-06-23,0.058986667,0.105,0.065066667,0.07,0.026973819,0.054219368,0.113344331
2005-06-24,0.05896,0.105,0.0651,0.07,0.026850883,0.054161821,0.113082199
2005-06-27,0.05888,0.105,0.0652,0.07,0.026482078,0.053989179,0.112295802
2005-06-28,0.058853333,0.105,0.065233333,0.07,0.026359143,0.053931632,0.11203367
2005-06-29,0.058826667,0.105,0.065266667,0.07,0.026359143,0.053931632,0.11203367
2005-06-30,0.0588,0.105,0.0653,0.07,0.026359143,0.053931632,0.11203367
2005-07-01,0.058796774,0.105,0.065312903,0.07,0.026459168,0.053874084,0.111771538
2005-07-04,0.058787097,0.105,0.065351613,0.07,0.026759241,0.053701443,0.110985141
2005-07-05,0.058783871,0.105,0.065364516,0.07,0.026859266,0.053643895,0.110723009
2005-07-06,0.058780645,0.105,0.065377419,0.07,0.02695929,0.053586348,0.110460877
2005-07-07,0.058777419,0.105,0.065390323,0.07,0.027059315,0.053528801,0.110198744
2005-07-08,0.058774194,0.105,0.065403226,0.07,0.027159339,0.053471254,0.109936612
2005-07-11,0.058764516,0.105,0.065441935,0.07,0.027459412,0.053298612,0.109150216
2005-07-12,0.05876129,0.105,0.065454839,0.07,0.027559437,0.053241065,0.108888083
2005-07-13,0.058758065,0.105,0.065467742,0.07,0.027659461,0.053183517,0.108625951
2005-07-14,0.058754839,0.105,0.065480645,0.07,0.027759486,0.05312597,0.108363819
2005-07-15,0.058751613,0.105,0.065493548,0.07,0.02785951,0.053068423,0.108101687
2005-07-18,0.058741935,0.105,0.065532258,0.07,0.028159584,0.052895781,0.10731529
2005-07-19,0.05873871,0.105,0.065545161,0.07,0.028259608,0.052838234,0.107053158
2005-07-20,0.058735484,0.105,0.065558065,0.07,0.028359633,0.052780687,0.106791026
2005-07-21,0.058732258,0.105,0.065570968,0.07,0.028459657,0.05272314,0.106528894
2005-07-22,0.058729032,0.105,0.065583871,0.07,0.028559682,0.052665592,0.106266761
2005-07-25,0.058719355,0.105,0.065622581,0.07,0.028859755,0.052492951,0.105480365
2005-07-26,0.058716129,0.105,0.065635484,0.07,0.028959779,0.052435403,0.105218232
2005-07-27,0.058712903,0.105,0.065648387,0.07,0.029059804,0.052377856,0.1049561
2005-07-28,0.058709677,0.105,0.06566129,0.07,0.029159828,0.052320309,0.104693968
2005-07-29,0.058706452,0.105,0.065674194,0.07,0.029259853,0.052262762,0.104431836
2005-08-01,0.058719355,0.105,0.065706452,0.07,0.02956723,0.052192954,0.103969637
2005-08-02,0.05873871,0.105,0.065712903,0.07,0.029674558,0.05223824,0.104031703
2005-08-03,0.058758065,0.105,0.065719355,0.07,0.029781885,0.052283527,0.104093769
2005-08-04,0.058777419,0.105,0.065725806,0.07,0.029889213,0.052328813,0.104155835
2005-08-05,0.058796774,0.105,0.065732258,0.07,0.029996541,0.0523741,0.1042179
2005-08-08,0.058854839,0.105,0.065751613,0.07,0.030318525,0.052509959,0.104404098
2005-08-09,0.058874194,0.105,0.065758065,0.07,0.030425853,0.052555246,0.104466164
2005-08-10,0.058893548,0.105,0.065764516,0.07,0.030533181,0.052600533,0.104528229
2005-08-11,0.058912903,0.105,0.065770968,0.07,0.030640509,0.052645819,0.104590295
2005-08-12,0.058932258,0.105,0.065777419,0.07,0.030747837,0.052691106,0.104652361
2005-08-15,0.058990323,0.105,0.065796774,0.07,0.03106982,0.052826965,0.104838558
2005-08-16,0.059009677,0.105,0.065803226,0.07,0.031177148,0.052872252,0.104900624
2005-08-17,0.059029032,0.105,0.065809677,0.07,0.031284476,0.052917538,0.10496269
2005-08-18,0.059048387,0.105,0.065816129,0.07,0.031391804,0.052962825,0.105024756
2005-08-19,0.059067742,0.105,0.065822581,0.07,0.031499132,0.053008111,0.105086822
2005-08-22,0.059125806,0.105,0.065841935,0.07,0.031821115,0.053143971,0.105273019
2005-08-23,0.059145161,0.105,0.065848387,0.07,0.031928443,0.053189257,0.105335085
2005-08-24,0.059164516,0.105,0.065854839,0.07,0.032035771,0.053234544,0.105397151
2005-08-25,0.059183871,0.105,0.06586129,0.07,0.032143099,0.053279831,0.105459217
2005-08-26,0.059203226,0.105,0.065867742,0.07,0.032250427,0.053325117,0.105521282
2005-08-29,0.05926129,0.105,0.065887097,0.07,0.032572411,0.053460977,0.10570748
2005-08-30,0.059280645,0.105,0.065893548,0.07,0.032679739,0.053506263,0.105769546
2005-08-31,0.0593,0.105,0.0659,0.07,0.032679739,0.053506263,0.105769546
2005-09-01,0.059296667,0.105,0.065853333,0.07,0.032679739,0.05355155,0.105831611
2005-09-02,0.059293333,0.105,0.065806667,0.07,0.032679739,0.053596836,0.105893677
2005-09-05,0.059283333,0.105,0.065666667,0.07,0.032679739,0.053732696,0.106079875
2005-09-06,0.05928,0.105,0.06562,0.07,0.032679739,0.053777982,0.10614194
2005-09-07,0.059276667,0.105,0.065573333,0.07,0.032679739,0.053823269,0.106204006
2005-09-08,0.059273333,0.105,0.065526667,0.07,0.032679739,0.053868556,0.106266072
2005-09-09,0.05927,0.105,0.06548,0.07,0.032679739,0.053913842,0.106328138
