DATE,0.003,0.005,0.019,0.038,0.083,0.167,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,3.25,3.5,3.75,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
2005-06-09,0.07199317,0.071982,0.07094483,0.07089588,0.07077994,0.07008095,0.07037179,0.07024782,0.07012849,0.06999237,0.07006883,0.07028231,0.07067186,0.07132482,0.07232903,0.07322072,0.07409026,0.07477161,0.0753477,0.07580111,0.07618574,0.07656467,0.07693141,0.07725637,0.07755809,0.07785879,0.0781631,0.07845622,0.07872707,0.07897106,0.07916786,0.07932399,0.07950041,0.0796611,0.07984207,0.0800304,0.08020762,0.08035435,0.08045308,0.08055181,0.08060947,0.08066713,0.08069342,0.08071971,0.0807174,0.0807151,0.08065006,0.08058502,0.08041864,0.08025222,0.08008578,0.07969748,0.07930902,0.07892042,0.07853166,0.07814275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-10,0.07197828,0.071982,0.07095135,0.0709024,0.07078646,0.07008747,0.07035874,0.07023477,0.07012849,0.06997932,0.07001009,0.07017697,0.07053209,0.07111901,0.07205737,0.07289166,0.07370946,0.07435487,0.07489409,0.0753171,0.07567966,0.0760421,0.07640718,0.07674342,0.07705178,0.0773406,0.07759232,0.07780975,0.07800864,0.07821211,0.07842848,0.07863187,0.07885924,0.07903759,0.07920112,0.07934893,0.07948194,0.0795983,0.07969018,0.07978206,0.07985038,0.0799187,0.07998286,0.08004702,0.08008255,0.08011809,0.08006963,0.08002117,0.07984392,0.07966664,0.07948932,0.0792244,0.07895941,0.07869435,0.07842922,0.07816402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-13,0.07749146,0.07474191,0.07045194,0.07055348,0.07079392,0.0710622,0.07086379,0.07024782,0.07012849,0.07045846,0.07051624,0.07060291,0.0708936,0.07150172,0.07258295,0.07353109,0.07444492,0.07517797,0.07577237,0.07620983,0.07657208,0.07696937,0.07738595,0.0777857,0.07815755,0.07849505,0.07879085,0.07904498,0.07926949,0.07947916,0.07967587,0.07984946,0.08003409,0.08016516,0.08025745,0.08031559,0.08037188,0.08045862,0.0806127,0.08076675,0.08091525,0.08106372,0.08114303,0.08122232,0.08123984,0.08125735,0.08103929,0.08082117,0.08037035,0.07991932,0.07946808,0.07879787,0.07812721,0.0774561,0.07678454,0.07611253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-14,0.07749146,0.07582058,0.07095135,0.07119966,0.0717875,0.07205737,0.0718452,0.07121307,0.0710771,0.07139,0.07121959,0.07107151,0.07117303,0.0716637,0.07270663,0.07362121,0.07450989,0.07525032,0.07582799,0.07627562,0.07666007,0.07704715,0.07746647,0.07786804,0.07823985,0.07857733,0.0788694,0.0791189,0.07934339,0.07956413,0.07978114,0.07998332,0.08020485,0.08038111,0.08054258,0.08068927,0.08082117,0.08093923,0.08103053,0.08112182,0.08118821,0.08125459,0.08131636,0.08137812,0.08141407,0.08145002,0.08146708,0.08148413,0.08135999,0.08123584,0.08111167,0.08070975,0.08030766,0.07990541,0.07950299,0.07910042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-15,0.07198572,0.07378006,0.07095135,0.07105201,0.07129036,0.07157061,0.07135461,0.07169628,0.07060291,0.07092434,0.07080416,0.0707054,0.07084888,0.07137231,0.0724667,0.07342052,0.07432052,0.07506202,0.07567318,0.07615701,0.0765693,0.07696752,0.07736929,0.07773297,0.07806321,0.07837671,0.07866052,0.07891099,0.07914015,0.07936463,0.07958445,0.07979221,0.08001378,0.08018085,0.08031467,0.08041802,0.08050106,0.08060716,0.08073401,0.08086083,0.08096275,0.08106465,0.08109369,0.08112274,0.08111721,0.08111167,0.08110153,0.08109139,0.08099487,0.08089834,0.0808018,0.08044257,0.0800832,0.0797237,0.07936408,0.07900432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-16,0.07199317,0.071982,0.07064484,0.07069823,0.07082466,0.07128571,0.0709588,0.06976484,0.07013502,0.07137789,0.0712736,0.07098675,0.07094017,0.07136486,0.07245647,0.0734038,0.07432423,0.07505738,0.07566854,0.0761496,0.07655818,0.07696289,0.07736374,0.07772741,0.07805859,0.07837208,0.0786559,0.07890729,0.07913553,0.07936001,0.0795863,0.07979221,0.08001378,0.08017808,0.08031006,0.08041156,0.08050291,0.08060347,0.08073032,0.08085715,0.0809586,0.08106004,0.08108954,0.08111905,0.08111398,0.08110891,0.08109923,0.08108954,0.08099303,0.0808965,0.08079996,0.08044054,0.08008098,0.0797213,0.07936149,0.07900155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-17,0.07197828,0.071982,0.07045194,0.07055126,0.07078646,0.0712736,0.07094763,0.06975272,0.07012849,0.06997932,0.06995228,0.07005764,0.07036153,0.07091409,0.07183496,0.072662,0.07348835,0.07415433,0.07474099,0.07523455,0.0756639,0.07606434,0.07641737,0.07671194,0.07697586,0.07724156,0.07750996,0.07776442,0.07800402,0.07823523,0.07845992,0.07866145,0.07888234,0.07905699,0.0792196,0.0793674,0.07949856,0.07961862,0.07971419,0.07980976,0.07987162,0.07993347,0.07996117,0.07998886,0.07998748,0.07998609,0.07991362,0.07984115,0.07968726,0.07953335,0.07937941,0.07911539,0.07885129,0.07858713,0.07832289,0.07805859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-20,0.07199317,0.07199317,0.07045194,0.07055348,0.07079392,0.07125963,0.0709616,0.06976577,0.07012849,0.06999237,0.0700623,0.07026832,0.07066813,0.07132016,0.07235601,0.0732737,0.07416361,0.07487832,0.07547104,0.07591883,0.07628674,0.07667026,0.07703974,0.07737022,0.07767653,0.07796332,0.07823985,0.0784932,0.07873077,0.0789535,0.07916232,0.07934893,0.07956783,0.0797719,0.08002209,0.08029898,0.08055089,0.08073262,0.0807543,0.08077598,0.08076629,0.08075661,0.08088389,0.08101116,0.08112966,0.08124813,0.08131037,0.08137259,0.08120081,0.08102899,0.08085715,0.08045382,0.08005034,0.07964669,0.07924288,0.07883891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-21,0.07499244,0.073493,0.07045194,0.07055348,0.07079392,0.07126708,0.0709616,0.06976577,0.07012197,0.06999237,0.07010985,0.07036713,0.07079764,0.07142258,0.07235694,0.07320399,0.07408933,0.07476883,0.07537831,0.07589659,0.07635345,0.07678603,0.07719342,0.07755068,0.07788099,0.07819176,0.07849782,0.07877883,0.0790459,0.07929997,0.0795512,0.07978852,0.08004425,0.080239,0.08040879,0.08055273,0.08067912,0.08079074,0.08087559,0.08096044,0.08103053,0.08110061,0.08119927,0.08129792,0.0813689,0.08143989,0.08143942,0.08143896,0.08126135,0.0810837,0.08090603,0.08058797,0.08026982,0.07995157,0.07963321,0.07931475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-22,0.07249274,0.07249274,0.07045194,0.07055348,0.07079392,0.0712736,0.0709616,0.06976577,0.07012849,0.06999237,0.06996067,0.07006043,0.07035781,0.0709085,0.07184799,0.07265363,0.07348928,0.07415433,0.07476419,0.07529298,0.07575569,0.07617555,0.07653502,0.07682307,0.07708326,0.07735078,0.07764137,0.07792632,0.07820101,0.07846546,0.07871783,0.07895627,0.07921036,0.07940897,0.0795863,0.07972573,0.07984669,0.07996394,0.08005348,0.08014301,0.08020946,0.08027591,0.08033774,0.08039957,0.08043509,0.08047062,0.08048307,0.08049553,0.08037527,0.08025499,0.0801347,0.0797767,0.07941857,0.07906032,0.07870193,0.07834342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-23,0.07499244,0.07498038,0.07045194,0.07054933,0.07077994,0.0712736,0.0709616,0.06976577,0.07012849,0.07045846,0.07021985,0.07000543,0.07004179,0.07048083,0.07146634,0.07234764,0.0731789,0.07384601,0.0744115,0.07485883,0.07524846,0.07564722,0.07606249,0.07645814,0.07682862,0.07717768,0.07749516,0.07778108,0.07804101,0.07828701,0.07851446,0.07871875,0.07893317,0.07910134,0.07924362,0.07936556,0.079457,0.07952165,0.07951842,0.07951518,0.07950272,0.07949025,0.07957013,0.07965002,0.07971096,0.0797719,0.07957752,0.07938311,0.07893255,0.0784818,0.07803084,0.07737355,0.07671583,0.07605767,0.07539908,0.07474006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-24,0.07497667,0.07498038,0.07045194,0.07055126,0.07078646,0.0712736,0.07094763,0.06974619,0.07012849,0.07044542,0.07020121,0.06997372,0.06999051,0.07037831,0.07127733,0.07209273,0.0728805,0.07353202,0.07411719,0.07459528,0.07502769,0.07544879,0.07585765,0.07621539,0.07654799,0.07686196,0.0771601,0.07740539,0.07763581,0.07785231,0.07805211,0.07822228,0.07840444,0.07854312,0.07866977,0.07878161,0.07887865,0.07897106,0.07905468,0.0791383,0.07921637,0.07929443,0.07939465,0.07949487,0.07956921,0.07964355,0.07968972,0.07973589,0.07959368,0.07945146,0.07930921,0.0789158,0.07852223,0.07812851,0.07773463,0.0773406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-27,0.07499244,0.07499244,0.07045194,0.07055348,0.07079392,0.07125963,0.0709616,0.06976577,0.07012849,0.06999237,0.0697779,0.0696837,0.06982732,0.07029163,0.07120003,0.07200526,0.07279962,0.07343911,0.07397789,0.07439572,0.07475027,0.07513252,0.07552297,0.07589566,0.07624041,0.07654985,0.07681103,0.07702771,0.07722212,0.07742019,0.07763026,0.07783473,0.07806136,0.0782417,0.07840814,0.07856161,0.07869472,0.07880379,0.078856,0.07890822,0.07894657,0.07898492,0.07908148,0.07917803,0.07925655,0.07933507,0.07945238,0.07956967,0.07936648,0.07916324,0.07895997,0.07783954,0.07671786,0.07559492,0.07447072,0.07334525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-28,0.07499244,0.07499244,0.07045194,0.07070092,0.07129036,0.07156317,0.0709616,0.06976577,0.07012849,0.06999237,0.06972847,0.0695783,0.06969676,0.07018909,0.07121959,0.07213181,0.07302367,0.07376613,0.07436972,0.07485698,0.07527258,0.0756741,0.07607917,0.07644795,0.07678047,0.07708233,0.07734152,0.07755623,0.07774869,0.07794759,0.07815662,0.07836006,0.07858657,0.07876589,0.07892578,0.07906716,0.07919835,0.07932676,0.07945377,0.07958075,0.07968187,0.07978298,0.07985084,0.0799187,0.07994778,0.07997686,0.07992332,0.07986977,0.07969003,0.07951026,0.07933045,0.0790642,0.07879787,0.07853147,0.07826501,0.07799847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-29,0.07199317,0.07199317,0.07045194,0.07055348,0.07079392,0.0712736,0.0709616,0.06976577,0.07012849,0.07045846,0.07019282,0.06994109,0.06992337,0.07027019,0.07108362,0.0718452,0.07259783,0.07321886,0.07377449,0.07426296,0.07470479,0.07513994,0.07559066,0.07602449,0.07642479,0.07678788,0.07708788,0.0773369,0.07755531,0.07777367,0.07799014,0.07819176,0.07841184,0.0785875,0.07874279,0.07888327,0.07900894,0.07914661,0.07930367,0.07946069,0.07960061,0.07974051,0.07984807,0.07995563,0.08001517,0.08007471,0.08005117,0.08002763,0.07981068,0.07959368,0.07937664,0.07898714,0.07859748,0.07820767,0.07781771,0.0774276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,0.07199317,0.071982,0.06995321,0.07020481,0.07080044,0.07126708,0.0709616,0.06976577,0.07012197,0.07045846,0.07015646,0.06985623,0.0698124,0.07016858,0.07105661,0.07187684,0.07267595,0.07332945,0.07390081,0.07438922,0.07482172,0.07524754,0.07567039,0.07606898,0.07643405,0.07677769,0.07709529,0.07738317,0.07764322,0.07788746,0.07810946,0.07830551,0.07852001,0.07870027,0.07888511,0.07907085,0.0792353,0.0793905,0.07951518,0.07963986,0.07973958,0.0798393,0.07994132,0.08004332,0.08010886,0.08017439,0.08017993,0.08018547,0.08000178,0.07981807,0.07963432,0.07923937,0.07884427,0.07844901,0.07805359,0.07765802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,0.07197828,0.071982,0.06995321,0.07020065,0.07078646,0.07126708,0.07094763,0.07071099,0.07105661,0.07044542,0.06995694,0.0696781,0.0697294,0.07017417,0.07121493,0.0721439,0.0730404,0.07375034,0.07435023,0.07483749,0.07524104,0.07566205,0.07610605,0.07654892,0.07693141,0.07730635,0.07765339,0.07797997,0.0782602,0.07853295,0.07880194,0.07904313,0.07928704,0.079469,0.07961031,0.07971465,0.07979868,0.07988085,0.07995009,0.08001932,0.08010655,0.08019377,0.08040695,0.08062008,0.08079719,0.08097427,0.08102269,0.0810711,0.0807812,0.08049122,0.08020116,0.07980643,0.07941155,0.07901652,0.07862133,0.07822598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
