"V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,0,10,1,3305.11550892745,3506.49670809451,2867,2867
"2",2,0,10,2,3176.73542335891,3423.0415808176,2867,2867
"3",2,0,10,3,3193.58946985991,3440.2446664726,2867,2867
"4",2,0,10,4,2873.68503103274,3108.17335139489,2867,2867
"5",2,0,10,5,5454.24837761611,3203.95773152919,2803,2803
"6",2,0,10,6,2858.28101513649,3156.20829623904,2867,2867
"7",2,0,10,7,3206.25283734856,2925.19245934622,2867,2867
"8",2,0,10,8,2811.33207482488,3066.39038057057,2867,2867
"9",2,0,10,9,2656.51387814769,2881.08479621469,2867,2867
"10",2,0,10,10,7285.85899119316,3539.99827721435,2803,2803
"11",2,0,10,11,3004.56583484874,3259.82678535966,2867,2867
"12",2,0,10,12,3662.0831573831,3225.2658780577,2867,2867
"13",2,0,10,13,2895.42341660923,3103.11233009557,2867,2867
"14",2,0,10,14,2767.65248358904,3026.86095440931,2867,2867
"15",2,0,10,15,6072.67496925106,3304.69315911481,2803,2803
"16",2,0,10,16,3020.44736842407,2905.26164487663,2867,2867
"17",2,0,10,17,3330.697647038,3032.7010899813,2867,2867
"18",2,0,10,18,2803.26182034042,2852.04939990967,2867,2867
"19",2,0,10,19,2741.07206830456,2887.42920980396,2867,2867
"20",2,0,10,20,2684.64984564743,2744.68268161388,2803,2803
"21",2,0,20,1,2903.81831468566,2874.99929828003,2867,2867
"22",2,0,20,2,2757.44114685199,2597.73693315525,2867,2867
"23",2,0,20,3,2863.31414248938,2856.24800019337,2867,2867
"24",2,0,20,4,2670.09429886533,2722.54237629885,2867,2867
"25",2,0,20,5,4295.83295606698,4049.52118064583,2803,2803
"26",2,0,20,6,2776.41235365097,2841.65116020173,2867,2867
"27",2,0,20,7,2299.41963441782,2353.26386963119,2867,2867
"28",2,0,20,8,2640.91147666635,2610.75450579236,2867,2867
"29",2,0,20,9,2832.36444657082,2813.15580705023,2867,2867
"30",2,0,20,10,4430.05022062881,4228.98563684992,2803,2803
"31",2,0,20,11,2823.34426791425,2890.13078523514,2867,2867
"32",2,0,20,12,2940.02186528442,2731.1021162651,2867,2867
"33",2,0,20,13,2688.87318045575,2668.49023675214,2867,2867
"34",2,0,20,14,2575.08436940683,2567.53668461542,2867,2867
"35",2,0,20,15,3987.60855676757,3740.97051317021,2803,2803
"36",2,0,20,16,2609.11528494138,2479.52088356248,2867,2867
"37",2,0,20,17,2694.68134288477,2548.67538533288,2867,2867
"38",2,0,20,18,2543.84443940397,2471.17866217734,2867,2867
"39",2,0,20,19,2541.65946260678,2477.79994572759,2867,2867
"40",2,0,20,20,2494.37403739162,2435.10592302282,2803,2803
"41",2,0,30,1,2856.92039087631,2674.3226353214,2867,2867
"42",2,0,30,2,2663.97631299638,2470.51498730996,2867,2867
"43",2,0,30,3,2686.68449389895,2499.68682344543,2867,2867
"44",2,0,30,4,2645.89159929742,2573.17389143,2867,2867
"45",2,0,30,5,3113.42319887101,2970.50393069718,2803,2803
"46",2,0,30,6,2735.5275361642,2754.13460762786,2867,2867
"47",2,0,30,7,2681.67303156934,2469.97327101526,2867,2867
"48",2,0,30,8,2593.72163647859,2421.9799019305,2867,2867
"49",2,0,30,9,2780.6552500351,2605.58133190281,2867,2867
"50",2,0,30,10,3117.22248857801,2977.01476299725,2803,2803
"51",2,0,30,11,2761.85550317039,2746.5373928643,2867,2867
"52",2,0,30,12,2771.76331626706,2498.82314877363,2867,2867
"53",2,0,30,13,2624.57257987901,2440.6740646832,2867,2867
"54",2,0,30,14,2511.81534160967,2431.61553698298,2867,2867
"55",2,0,30,15,3269.05911527313,3902.29011904571,2803,2803
"56",2,0,30,16,2524.001412155,2305.41693529724,2867,2867
"57",2,0,30,17,2576.50124176023,2336.3442452963,2867,2867
"58",2,0,30,18,2486.50893957377,2315.40934862555,2867,2867
"59",2,0,30,19,2487.29118200715,2318.7875141603,2867,2867
"60",2,0,30,20,2453.90662555167,2303.44378357157,2803,2803
"61",2,0.5,10,1,3813.24854806232,4312.56887768787,2867,2867
"62",2,0.5,10,2,3618.43766838257,3974.79573643021,2867,2867
"63",2,0.5,10,3,3642.42031414956,4168.90742879147,2867,2867
"64",2,0.5,10,4,2993.82948266658,2954.72033875185,2867,2867
"65",2,0.5,10,5,4678.89738796773,4929.00041011254,2803,2803
"66",2,0.5,10,6,2914.06704945166,4367.564519867,2867,2867
"67",2,0.5,10,7,2904.36852922443,3823.14053694139,2867,2867
"68",2,0.5,10,8,2866.36732331465,2941.13429050931,2867,2867
"69",2,0.5,10,9,2520.73449482372,3104.94746257297,2867,2867
"70",2,0.5,10,10,6518.51534381472,6292.05363032882,2803,2803
"71",2,0.5,10,11,3293.47525901149,4355.78687435917,2867,2867
"72",2,0.5,10,12,3561.63632077284,3966.22980476471,2867,2867
"73",2,0.5,10,13,3007.6804229206,3005.23533638525,2867,2867
"74",2,0.5,10,14,2825.5891503672,3010.47941211785,2867,2867
"75",2,0.5,10,15,5258.2323642841,5416.09464016359,2803,2803
"76",2,0.5,10,16,2883.39846958108,3534.93181430621,2867,2867
"77",2,0.5,10,17,3188.47095106062,3691.42527234185,2867,2867
"78",2,0.5,10,18,2660.09492030084,3393.82617530125,2867,2867
"79",2,0.5,10,19,2656.71173700377,3218.86047823189,2867,2867
"80",2,0.5,10,20,2474.83235272005,3345.41249105663,2803,2803
"81",2,0.5,20,1,2739.49720508434,5066.72907774651,2867,2867
"82",2,0.5,20,2,2652.87737931176,3546.11794185094,2867,2867
"83",2,0.5,20,3,2703.60125032893,5015.29786029815,2867,2867
"84",2,0.5,20,4,2542.90697553226,4827.57264136923,2867,2867
"85",2,0.5,20,5,4180.15882497834,5694.60060434741,2803,2803
"86",2,0.5,20,6,2687.49386305421,4564.79125929146,2867,2867
"87",2,0.5,20,7,2196.97005199317,3306.08117646671,2867,2867
"88",2,0.5,20,8,2521.19353920341,3127.65826724092,2867,2867
"89",2,0.5,20,9,2670.975762461,5016.11493133399,2867,2867
"90",2,0.5,20,10,4321.12051243348,5860.02336284659,2803,2803
"91",2,0.5,20,11,2718.14048162069,4671.23852833449,2867,2867
"92",2,0.5,20,12,2804.16619480726,3696.83857054494,2867,2867
"93",2,0.5,20,13,2556.46636105942,4588.99980510177,2867,2867
"94",2,0.5,20,14,2439.50158887689,3592.55350515988,2867,2867
"95",2,0.5,20,15,3863.90658481676,5317.60039513868,2803,2803
"96",2,0.5,20,16,2492.77652019205,3189.46948454793,2867,2867
"97",2,0.5,20,17,2578.23514112262,3238.81595452695,2867,2867
"98",2,0.5,20,18,2441.92231792109,3071.70512942084,2867,2867
"99",2,0.5,20,19,2430.00766605583,3034.96877012232,2867,2867
"100",2,0.5,20,20,2402.68856051917,3090.02362585607,2803,2803
"101",2,0.5,30,1,2356.00184280584,3139.86665291683,2867,2867
"102",2,0.5,30,2,2538.52341015187,5937.56253219669,2867,2867
"103",2,0.5,30,3,2297.77013515045,3913.47107030549,2867,2867
"104",2,0.5,30,4,2347.01109091367,3124.1918481432,2867,2867
"105",2,0.5,30,5,2824.2267375324,5232.01001466144,2803,2803
"106",2,0.5,30,6,2421.74069742355,3570.22935564784,2867,2867
"107",2,0.5,30,7,2541.34537836582,5871.6453355723,2867,2867
"108",2,0.5,30,8,2304.92300611312,4212.12616871381,2867,2867
"109",2,0.5,30,9,2312.65672765124,3344.55358424295,2867,2867
"110",2,0.5,30,10,2828.34431074398,5213.87454249334,2803,2803
"111",2,0.5,30,11,2382.06934374511,3563.46130765188,2867,2867
"112",2,0.5,30,12,2577.30329911234,5935.42908077385,2867,2867
"113",2,0.5,30,13,2324.41148083896,4238.15832394781,2867,2867
"114",2,0.5,30,14,2235.26907508275,3951.8760677219,2867,2867
"115",2,0.5,30,15,3563.33971047033,7150.76527579272,2803,2803
"116",2,0.5,30,16,2346.64358765796,5004.87393650338,2867,2867
"117",2,0.5,30,17,2385.08923163003,5113.04869372502,2867,2867
"118",2,0.5,30,18,2320.11591870467,4849.16156060577,2867,2867
"119",2,0.5,30,19,2307.25983411735,4669.85587227664,2867,2867
"120",2,0.5,30,20,2300.14057463778,4886.68002871475,2803,2803
"121",2,1.5,10,1,4869.27128214606,3097.33915232856,2867,2867
"122",2,1.5,10,2,4610.37045974305,2957.89996062581,2867,2867
"123",2,1.5,10,3,4678.75654750852,2978.6991730879,2867,2867
"124",2,1.5,10,4,3812.51082536209,2593.05659402495,2867,2867
"125",2,1.5,10,5,5238.9442524396,4102.27262378402,2803,2803
"126",2,1.5,10,6,4229.02540769299,2715.73978237585,2867,2867
"127",2,1.5,10,7,2920.51502617254,2768.42923927839,2867,2867
"128",2,1.5,10,8,3689.82717206664,2536.53933556805,2867,2867
"129",2,1.5,10,9,2838.40933919903,2338.18419626211,2867,2867
"130",2,1.5,10,10,7361.63816478451,5524.60593126498,2803,2803
"131",2,1.5,10,11,4506.55999656728,2827.31223237011,2867,2867
"132",2,1.5,10,12,3819.16826801457,3155.21472505351,2867,2867
"133",2,1.5,10,13,3773.70205390824,2610.17825656764,2867,2867
"134",2,1.5,10,14,3539.96960111637,2481.21229731455,2867,2867
"135",2,1.5,10,15,5926.29756747793,4583.90444485331,2803,2803
"136",2,1.5,10,16,2776.40408857087,2634.9529577745,2867,2867
"137",2,1.5,10,17,3197.18058497703,2854.94991222167,2867,2867
"138",2,1.5,10,18,2718.94251191073,2470.8199064976,2867,2867
"139",2,1.5,10,19,2546.64373164355,2427.76109327814,2867,2867
"140",2,1.5,10,20,2413.85804400145,2344.49317240347,2803,2803
"141",2,1.5,20,1,2719.22427598463,2593.90619806504,2867,2867
"142",2,1.5,20,2,2660.18169692396,2620.56291324888,2867,2867
"143",2,1.5,20,3,2678.64609849838,2546.34506797631,2867,2867
"144",2,1.5,20,4,2520.34804156261,2353.67123353319,2867,2867
"145",2,1.5,20,5,4069.03641387282,4434.53335060209,2803,2803
"146",2,1.5,20,6,2594.94738813953,2447.88965976335,2867,2867
"147",2,1.5,20,7,2268.76891700134,2126.42252360709,2867,2867
"148",2,1.5,20,8,2552.20711610911,2425.79203648581,2867,2867
"149",2,1.5,20,9,2667.32611591579,2535.67363620194,2867,2867
"150",2,1.5,20,10,4207.12276812703,4607.90066295264,2803,2803
"151",2,1.5,20,11,2633.34256681716,2490.02468098852,2867,2867
"152",2,1.5,20,12,2808.53418451234,2773.60425668232,2867,2867
"153",2,1.5,20,13,2583.880809047,2460.17378350615,2867,2867
"154",2,1.5,20,14,2483.33231480076,2341.58247931946,2867,2867
"155",2,1.5,20,15,3770.82411454452,4094.68195984819,2803,2803
"156",2,1.5,20,16,2571.58529567181,2457.16791123225,2867,2867
"157",2,1.5,20,17,2625.67360768159,2536.92933718339,2867,2867
"158",2,1.5,20,18,2518.92129660445,2399.81190517828,2867,2867
"159",2,1.5,20,19,2516.65793363266,2381.2838358341,2867,2867
"160",2,1.5,20,20,2482.1808440087,2352.31340543159,2803,2803
"161",2,1.5,30,1,2271.47504782949,2563.65605875418,2867,2867
"162",2,1.5,30,2,2546.42512324761,2596.40370567635,2867,2867
"163",2,1.5,30,3,2261.92107046839,2447.50504681408,2867,2867
"164",2,1.5,30,4,2172.53915837136,2338.97122598217,2867,2867
"165",2,1.5,30,5,2571.20556420618,3122.33561680951,2803,2803
"166",2,1.5,30,6,2124.81147534113,2394.67952920154,2867,2867
"167",2,1.5,30,7,2572.4243153166,2605.25855314667,2867,2867
"168",2,1.5,30,8,2266.20346287636,2411.12242145937,2867,2867
"169",2,1.5,30,9,2257.03606678052,2502.17330597516,2867,2867
"170",2,1.5,30,10,2578.11078090689,3125.4664608975,2803,2803
"171",2,1.5,30,11,2130.46660358368,2420.86045955679,2867,2867
"172",2,1.5,30,12,2551.03245291476,2689.87121130394,2867,2867
"173",2,1.5,30,13,2265.42933646071,2431.31020115894,2867,2867
"174",2,1.5,30,14,2297.55524771435,2318.08023562908,2867,2867
"175",2,1.5,30,15,3282.15398476451,3989.94581123199,2803,2803
